 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  87 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   21,928,591","   254,776","   1,291,113","   322,470","   322,134","   324,123","   322,386","   1,613,672","   1,655,839","   1,989,278","   1,900,270","   1,820,827","   1,904,516","   1,943,867","   1,776,015","   1,490,384","   895,191","   851,945","   730,667","   667,738","   543,076","   333,570","   167,429","   74,776","   19,089","   3,750",   803
 總　　計 , 男 ,"   11,243,408","   132,759","   671,994","   168,132","   167,791","   168,195","   167,876","   842,641","   856,638","   1,022,518","   972,277","   928,765","   971,092","   989,035","   900,056","   753,418","   449,997","   421,175","   357,588","   359,898","   308,800","   179,024","   82,971","   33,535","   7,485","   1,423",   319
, 女 ,"   10,685,183","   122,017","   619,119","   154,338","   154,343","   155,928","   154,510","   771,031","   799,201","   966,760","   927,993","   892,062","   933,424","   954,832","   875,959","   736,966","   445,194","   430,770","   373,079","   307,840","   234,276","   154,546","   84,458","   41,241","   11,604","   2,327",   484
, 計 ,"   21,870,876","   254,130","   1,288,109","   321,722","   321,415","   323,373","   321,599","   1,609,772","   1,650,753","   1,983,499","   1,894,642","   1,816,544","   1,900,762","   1,940,220","   1,771,863","   1,487,176","   892,854","   849,544","   727,817","   665,195","   541,308","   332,342","   166,665","   74,285","   18,903","   3,706",   787
 臺灣地區 , 男 ,"   11,213,301","   132,420","   670,454","   167,758","   167,413","   167,812","   167,471","   840,641","   854,040","   1,019,511","   969,260","   926,285","   968,941","   987,081","   897,986","   751,877","   448,787","   419,823","   355,877","   358,570","   308,048","   178,487","   82,683","   33,380","   7,428","   1,407",   315
, 女 ,"   10,657,575","   121,710","   617,655","   153,964","   154,002","   155,561","   154,128","   769,131","   796,713","   963,988","   925,382","   890,259","   931,821","   953,139","   873,877","   735,299","   444,067","   429,721","   371,940","   306,625","   233,260","   153,855","   83,982","   40,905","   11,475","   2,299",   472
, 計 ,"   17,768,635","   210,033","   1,061,022","   264,828","   264,911","   265,854","   265,429","   1,332,587","   1,355,945","   1,633,547","   1,562,254","   1,484,783","   1,546,081","   1,566,674","   1,401,400","   1,160,844","   703,232","   687,435","   600,436","   546,942","   437,515","   265,782","   134,074","   59,772","   15,032","   2,762",   483
臺  灣  省, 男 ,"   9,159,366","   109,482","   552,387","   138,322","   138,310","   137,683","   138,072","   695,106","   700,669","   840,274","   801,532","   764,247","   799,579","   809,103","   719,884","   592,581","   355,292","   342,084","   295,994","   294,426","   247,685","   140,509","   65,289","   26,234","   5,798","   1,012",   199
, 女 ,"   8,609,269","   100,551","   508,635","   126,506","   126,601","   128,171","   127,357","   637,481","   655,276","   793,273","   760,722","   720,536","   746,502","   757,571","   681,516","   568,263","   347,940","   345,351","   304,442","   252,516","   189,830","   125,273","   68,785","   33,538","   9,234","   1,750",   284
, 計 ,"   3,459,624","   36,437","   191,540","   46,240","   46,620","   48,752","   49,928","   270,002","   275,228","   333,788","   309,021","   289,148","   311,661","   331,020","   304,933","   248,465","   137,190","   117,725","   88,583","   77,768","   64,912","   40,291","   19,843","   8,826","   2,501",   582,   160
 臺 北 縣 , 男 ,"   1,751,279","   18,790","   99,217","   24,091","   24,160","   25,133","   25,833","   141,396","   141,426","   172,150","   158,463","   146,148","   151,247","   161,042","   149,363","   123,120","   68,679","   57,689","   42,722","   43,285","   37,945","   22,720","   10,354","   4,166","   1,039",   242,   76
, 女 ,"   1,708,345","   17,647","   92,323","   22,149","   22,460","   23,619","   24,095","   128,606","   133,802","   161,638","   150,558","   143,000","   160,414","   169,978","   155,570","   125,345","   68,511","   60,036","   45,861","   34,483","   26,967","   17,571","   9,489","   4,660","   1,462",   340,   84
, 計 ,"   465,627","   5,615","   28,396","   7,191","   7,107","   7,151","   6,947","   34,173","   33,930","   41,323","   40,968","   39,823","   38,644","   38,259","   33,663","   28,001","   17,780","   21,174","   19,338","   16,860","   12,834","   8,158","   4,201","   1,932",   466,   77,   12
 宜 蘭 縣 , 男 ,"   241,261","   2,871","   14,877","   3,769","   3,837","   3,692","   3,579","   17,783","   17,574","   21,206","   20,927","   20,871","   20,692","   20,180","   17,383","   14,255","   9,024","   10,653","   9,844","   8,971","   7,159","   4,111","   1,916",   785,   153,   18,   8
, 女 ,"   224,366","   2,744","   13,519","   3,422","   3,270","   3,459","   3,368","   16,390","   16,356","   20,117","   20,041","   18,952","   17,952","   18,079","   16,280","   13,746","   8,756","   10,521","   9,494","   7,889","   5,675","   4,047","   2,285","   1,147",   313,   59,   4
, 計 ,"   1,650,984","   21,733","   109,858","   27,212","   27,247","   27,586","   27,813","   140,641","   135,102","   154,137","   138,748","   140,909","   152,811","   151,087","   130,813","   100,974","   57,751","   51,643","   41,696","   44,773","   40,049","   21,609","   10,612","   4,490","   1,233",   268,   47
 桃 園 縣 , 男 ,"   851,908","   11,362","   57,371","   14,164","   14,303","   14,250","   14,654","   73,716","   70,126","   79,161","   70,983","   70,735","   76,136","   75,954","   65,677","   49,735","   27,904","   24,440","   20,033","   28,502","   27,534","   13,565","   6,016","   2,358",   514,   74,   12
