 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  70 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   18,193,955","   375,453","   1,617,545","   405,218","   415,875","   406,825","   389,627","   1,864,939","   1,896,420","   2,003,755","   1,939,667","   1,772,888","   1,340,681","   886,566","   906,604","   810,232","   818,255","   670,515","   487,590","   360,647","   231,598","   127,415","   58,243","   19,214","   5,728",—,—
 總　　計 , 男 ,"   9,479,508","   194,306","   834,668","   208,952","   214,971","   210,252","   200,493","   959,696","   975,557","   1,026,841","   992,278","   906,402","   687,339","   455,640","   461,495","   425,094","   480,157","   398,702","   279,378","   198,779","   113,684","   58,037","   23,135","   6,803","   1,517",—,—
, 女 ,"   8,714,447","   181,147","   782,877","   196,266","   200,904","   196,573","   189,134","   905,243","   920,863","   976,914","   947,389","   866,486","   653,342","   430,926","   445,109","   385,138","   338,098","   271,813","   208,212","   161,868","   117,914","   69,378","   35,108","   12,411","   4,211",—,—
, 計 ,"   18,135,508","   374,240","   1,612,213","   403,961","   414,552","   405,504","   388,196","   1,857,283","   1,887,463","   1,997,407","   1,935,649","   1,768,779","   1,337,724","   884,070","   903,896","   807,356","   815,906","   668,500","   486,061","   359,263","   230,629","   126,688","   57,806","   18,985","   5,590",—,—
 臺灣地區 , 男 ,"   9,448,766","   193,659","   831,901","   208,288","   214,296","   209,564","   199,753","   955,688","   970,940","   1,023,100","   989,862","   904,380","   685,986","   454,341","   459,937","   423,419","   478,974","   397,668","   278,533","   198,167","   113,270","   57,745","   22,992","   6,726","   1,478",—,—
, 女 ,"   8,686,742","   180,581","   780,312","   195,673","   200,256","   195,940","   188,443","   901,595","   916,523","   974,307","   945,787","   864,399","   651,738","   429,729","   443,959","   383,937","   336,932","   270,832","   207,528","   161,096","   117,359","   68,943","   34,814","   12,259","   4,112",—,—
, 計 ,"   14,637,071","   313,091","   1,327,803","   334,333","   342,157","   332,941","   318,372","   1,495,391","   1,525,638","   1,647,704","   1,587,425","   1,393,263","   1,023,231","   687,198","   720,762","   656,954","   663,357","   536,151","   393,119","   294,734","   194,332","   107,048","   49,191","   16,077","   4,602",—,—
臺  灣  省, 男 ,"   7,643,173","   161,904","   684,164","   171,956","   176,561","   171,931","   163,716","   768,764","   784,241","   843,940","   818,948","   723,415","   532,608","   356,073","   369,685","   345,248","   386,734","   315,251","   221,894","   160,877","   94,542","   48,428","   19,498","   5,717","   1,242",—,—
, 女 ,"   6,993,898","   151,187","   643,639","   162,377","   165,596","   161,010","   154,656","   726,627","   741,397","   803,764","   768,477","   669,848","   490,623","   331,125","   351,077","   311,706","   276,623","   220,900","   171,225","   133,857","   99,790","   58,620","   29,693","   10,360","   3,360",—,—
, 計 ,"   2,354,858","   52,484","   239,406","   59,499","   61,739","   60,468","   57,700","   265,906","   235,444","   228,022","   231,083","   264,316","   206,582","   124,226","   111,131","   91,040","   91,143","   76,275","   54,173","   38,774","   23,588","   12,882","   5,746","   2,028",   609,—,—
 臺 北 縣 , 男 ,"   1,217,857","   27,108","   123,795","   30,864","   32,014","   31,193","   29,724","   137,066","   121,580","   116,750","   112,012","   128,349","   105,173","   65,284","   56,749","   48,120","   54,582","   45,978","   32,087","   21,824","   12,176","   6,081","   2,278",   724,   141,—,—
, 女 ,"   1,137,001","   25,376","   115,611","   28,635","   29,725","   29,275","   27,976","   128,840","   113,864","   111,272","   119,071","   135,967","   101,409","   58,942","   54,382","   42,920","   36,561","   30,297","   22,086","   16,950","   11,412","   6,801","   3,468","   1,304",   468,—,—
, 計 ,"   445,472","   9,371","   37,464","   9,593","   9,632","   9,364","   8,875","   43,101","   48,012","   53,362","   51,129","   39,819","   26,182","   20,071","   23,529","   21,511","   20,482","   16,835","   12,420","   9,711","   6,481","   3,949","   1,408",   484,   151,—,—
