 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  82 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   20,995,416","   307,292","   1,307,306","   322,934","   324,533","   339,450","   320,389","   1,669,798","   1,995,309","   1,906,190","   1,831,670","   1,911,217","   1,945,458","   1,789,101","   1,512,385","   927,945","   891,163","   778,101","   731,680","   624,985","   421,222","   247,103","   135,716","   47,089","   12,237","   2,069",   380
 總　　計 , 男 ,"   10,824,161","   159,265","   679,728","   168,047","   169,004","   176,720","   165,957","   863,197","   1,026,965","   977,797","   939,178","   978,571","   994,422","   912,226","   770,835","   471,877","   447,587","   389,157","   401,476","   361,512","   232,766","   128,111","   64,618","   19,452","   4,619",   680,   122
, 女 ,"   10,171,255","   148,027","   627,578","   154,887","   155,529","   162,730","   154,432","   806,601","   968,344","   928,393","   892,492","   932,646","   951,036","   876,875","   741,550","   456,068","   443,576","   388,944","   330,204","   263,473","   188,456","   118,992","   71,098","   27,637","   7,618","   1,389",   258
, 計 ,"   20,944,006","   306,592","   1,304,120","   322,218","   323,768","   338,616","   319,518","   1,664,797","   1,989,640","   1,900,333","   1,827,757","   1,908,102","   1,942,304","   1,785,590","   1,509,612","   925,764","   888,799","   775,534","   729,417","   623,250","   419,971","   246,174","   135,044","   46,717","   12,089","   2,032",   368
 臺灣地區 , 男 ,"   10,797,061","   158,919","   678,047","   167,680","   168,594","   176,286","   165,487","   860,660","   1,024,039","   974,664","   936,766","   976,712","   992,780","   910,540","   769,480","   470,721","   446,271","   387,624","   400,225","   360,676","   232,156","   127,728","   64,377","   19,325","   4,568",   665,   118
, 女 ,"   10,146,945","   147,673","   626,073","   154,538","   155,174","   162,330","   154,031","   804,137","   965,601","   925,669","   890,991","   931,390","   949,524","   875,050","   740,132","   455,043","   442,528","   387,910","   329,192","   262,574","   187,815","   118,446","   70,667","   27,392","   7,521","   1,367",   250
, 計 ,"   16,885,412","   259,359","   1,079,967","   268,030","   268,833","   279,786","   263,318","   1,358,708","   1,609,280","   1,545,393","   1,495,042","   1,558,098","   1,553,281","   1,390,321","   1,158,385","   718,124","   713,126","   637,598","   601,332","   506,868","   339,201","   200,493","   110,990","   38,488","   9,609","   1,499",   250
臺  灣  省, 男 ,"   8,747,498","   134,306","   560,985","   139,528","   139,808","   145,380","   136,269","   701,491","   827,140","   793,354","   768,226","   806,721","   807,235","   720,724","   597,517","   367,135","   360,193","   320,762","   329,674","   292,201","   185,368","   102,580","   52,068","   15,691","   3,558",   486,   83
, 女 ,"   8,137,914","   125,053","   518,982","   128,502","   129,025","   134,406","   127,049","   657,217","   782,140","   752,039","   726,816","   751,377","   746,046","   669,597","   560,868","   350,989","   352,933","   316,836","   271,658","   214,667","   153,833","   97,913","   58,922","   22,797","   6,051","   1,013",   167
, 計 ,"   3,222,629","   49,415","   212,602","   51,504","   52,582","   55,119","   53,397","   281,856","   324,343","   299,223","   274,812","   290,796","   318,782","   301,470","   244,236","   141,718","   123,725","   96,629","   86,098","   75,276","   50,997","   29,051","   14,698","   5,136","   1,472",   237,   57
 臺 北 縣 , 男 ,"   1,642,744","   25,654","   110,139","   26,713","   27,168","   28,690","   27,568","   145,102","   166,708","   152,985","   140,505","   142,024","   156,208","   150,612","   123,077","   71,859","   61,441","   47,925","   48,505","   44,495","   29,442","   15,729","   7,407","   2,242",   583,   86,   16
, 女 ,"   1,579,885","   23,761","   102,463","   24,791","   25,414","   26,429","   25,829","   136,754","   157,635","   146,238","   134,307","   148,772","   162,574","   150,858","   121,159","   69,859","   62,284","   48,704","   37,593","   30,781","   21,555","   13,322","   7,291","   2,894",   889,   151,   41
, 計 ,"   462,509","   7,251","   30,132","   7,720","   7,651","   7,643","   7,118","   34,368","   41,299","   41,466","   43,953","   44,685","   40,495","   34,219","   28,362","   18,134","   21,940","   20,512","   18,604","   15,018","   10,389","   6,398","   3,634","   1,283",   330,   31,   6
 宜 蘭 縣 , 男 ,"   240,260","   3,690","   15,660","   4,013","   3,958","   4,054","   3,635","   17,735","   21,221","   21,214","   22,493","   23,700","   21,521","   17,769","   14,511","   9,297","   11,185","   10,567","   10,149","   8,591","   5,537","   3,167","   1,647",   490,   104,   12,—
, 女 ,"   222,249","   3,561","   14,472","   3,707","   3,693","   3,589","   3,483","   16,633","   20,078","   20,252","   21,460","   20,985","   18,974","   16,450","   13,851","   8,837","   10,755","   9,945","   8,455","   6,427","   4,852","   3,231","   1,987",   793,   226,   19,   6
, 計 ,"   1,448,186","   23,291","   100,240","   24,530","   24,707","   26,226","   24,777","   127,996","   149,450","   133,330","   127,136","   132,157","   136,565","   123,308","   98,146","   56,758","   51,772","   42,748","   47,647","   44,376","   26,502","   15,196","   7,797","   2,707",   862,   134,   68
 桃 園 縣 , 男 ,"   754,623","   12,077","   52,182","   12,798","   12,891","   13,619","   12,874","   66,278","   76,845","   68,730","   65,178","   66,570","   68,725","   62,246","   48,993","   27,952","   25,005","   21,156","   30,486","   30,556","   16,867","   8,972","   4,231","   1,183",   325,   39,   27
, 女 ,"   693,563","   11,214","   48,058","   11,732","   11,816","   12,607","   11,903","   61,718","   72,605","   64,600","   61,958","   65,587","   67,840","   61,062","   49,153","   28,806","   26,767","   21,592","   17,161","   13,820","   9,635","   6,224","   3,566","   1,524",   537,   95,   41
, 計 ,"   393,030","   7,143","   28,669","   7,254","   7,189","   7,392","   6,834","   31,506","   35,393","   33,483","   35,150","   37,489","   36,063","   29,134","   23,011","   14,858","   16,962","   16,247","   15,458","   13,171","   8,735","   5,517","   3,113","   1,445",   406,   68,   9
 新 竹 縣 , 男 ,"   207,110","   3,713","   14,921","   3,767","   3,788","   3,837","   3,529","   16,144","   18,167","   17,352","   18,092","   19,893","   19,624","   15,855","   12,228","   7,744","   8,806","   8,436","   8,626","   7,581","   4,738","   2,835","   1,524",   659,   148,   23,   1
, 女 ,"   185,920","   3,430","   13,748","   3,487","   3,401","   3,555","   3,305","   15,362","   17,226","   16,131","   17,058","   17,596","   16,439","   13,279","   10,783","   7,114","   8,156","   7,811","   6,832","   5,590","   3,997","   2,682","   1,589",   786,   258,   45,   8
, 計 ,"   556,188","   9,184","   37,396","   9,478","   9,405","   9,541","   8,972","   42,884","   50,082","   48,279","   51,291","   52,033","   48,407","   39,893","   33,337","   22,303","   25,648","   24,528","   23,016","   18,986","   12,960","   8,429","   4,877","   2,022",   544,   81,   8
 苗 栗 縣 , 男 ,"   291,524","   4,788","   19,427","   4,938","   4,943","   4,929","   4,617","   22,152","   25,871","   24,803","   26,575","   27,893","   26,633","   21,642","   17,646","   11,630","   13,414","   12,827","   12,171","   10,079","   6,565","   4,122","   2,263",   797,   197,   26,   3
, 女 ,"   264,664","   4,396","   17,969","   4,540","   4,462","   4,612","   4,355","   20,732","   24,211","   23,476","   24,716","   24,140","   21,774","   18,251","   15,691","   10,673","   12,234","   11,701","   10,845","   8,907","   6,395","   4,307","   2,614","   1,225",   347,   55,   5
