 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  74 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   19,313,825","   314,453","   1,552,096","   364,457","   378,795","   398,996","   409,848","   2,035,953","   1,813,642","   1,912,260","   1,999,571","   1,898,036","   1,713,055","   1,159,452","   894,682","   868,347","   795,314","   776,164","   603,745","   406,715","   294,671","   164,130","   76,551","   27,452","   7,536",—,—
 總　　計 , 男 ,"   10,023,344","   162,253","   800,578","   188,429","   195,027","   205,781","   211,341","   1,048,601","   931,912","   981,181","   1,024,483","   969,901","   874,647","   594,395","   457,537","   439,276","   422,743","   457,701","   353,055","   227,086","   155,872","   76,784","   32,800","   10,214","   2,325",—,—
, 女 ,"   9,290,481","   152,200","   751,518","   176,028","   183,768","   193,215","   198,507","   987,352","   881,730","   931,079","   975,088","   928,135","   838,408","   565,057","   437,145","   429,071","   372,571","   318,463","   250,690","   179,629","   138,799","   87,346","   43,751","   17,238","   5,211",—,—
, 計 ,"   19,258,053","   313,399","   1,547,346","   363,326","   377,581","   397,803","   408,636","   2,029,233","   1,806,064","   1,905,934","   1,995,660","   1,893,973","   1,709,527","   1,156,866","   892,337","   865,809","   792,602","   774,115","   602,082","   405,497","   293,534","   163,379","   76,070","   27,218","   7,408",—,—
 臺灣地區 , 男 ,"   9,994,291","   161,690","   798,072","   187,859","   194,382","   205,149","   210,682","   1,045,148","   928,097","   977,571","   1,022,224","   967,809","   873,030","   593,144","   456,274","   437,779","   421,194","   456,679","   352,159","   226,495","   155,397","   76,484","   32,625","   10,132","   2,288",—,—
, 女 ,"   9,263,762","   151,709","   749,274","   175,467","   183,199","   192,654","   197,954","   984,085","   877,967","   928,363","   973,436","   926,164","   836,497","   563,722","   436,063","   428,030","   371,408","   317,436","   249,923","   179,002","   138,137","   86,895","   43,445","   17,086","   5,120",—,—
, 計 ,"   15,447,584","   258,943","   1,270,779","   299,668","   310,641","   326,381","   334,089","   1,636,838","   1,445,709","   1,555,900","   1,639,289","   1,504,375","   1,314,639","   875,637","   694,434","   694,487","   645,230","   628,332","   483,642","   329,032","   241,218","   136,732","   63,681","   22,691","   5,996",—,—
臺  灣  省, 男 ,"   8,044,960","   133,420","   654,500","   154,639","   159,683","   168,092","   172,086","   842,188","   742,593","   798,847","   844,744","   779,709","   681,914","   454,449","   356,780","   353,390","   343,061","   369,056","   280,986","   181,953","   126,723","   63,372","   27,006","   8,422","   1,847",—,—
, 女 ,"   7,402,624","   125,523","   616,279","   145,029","   150,958","   158,289","   162,003","   794,650","   703,116","   757,053","   794,545","   724,666","   632,725","   421,188","   337,654","   341,097","   302,169","   259,276","   202,656","   147,079","   114,495","   73,360","   36,675","   14,269","   4,149",—,—
, 計 ,"   2,663,683","   45,130","   237,058","   53,899","   57,921","   61,527","   63,711","   313,864","   253,835","   241,546","   250,665","   284,825","   280,824","   175,630","   122,279","   105,585","   89,967","   88,330","   69,850","   45,479","   31,235","   16,244","   7,857","   2,661",   819,—,—
 臺 北 縣 , 男 ,"   1,369,762","   23,280","   122,091","   27,841","   29,729","   31,718","   32,803","   161,651","   130,646","   124,186","   124,357","   137,669","   141,180","   90,480","   62,886","   52,517","   48,213","   53,095","   41,668","   26,287","   16,861","   8,036","   3,426",   985,   248,—,—
, 女 ,"   1,293,921","   21,850","   114,967","   26,058","   28,192","   29,809","   30,908","   152,213","   123,189","   117,360","   126,308","   147,156","   139,644","   85,150","   59,393","   53,068","   41,754","   35,235","   28,182","   19,192","   14,374","   8,208","   4,431","   1,676",   571,—,—
, 計 ,"   449,981","   7,499","   35,289","   8,457","   8,642","   8,984","   9,206","   43,701","   41,766","   48,902","   51,776","   42,689","   33,415","   21,719","   20,589","   22,677","   20,586","   19,174","   14,515","   10,322","   7,751","   4,554","   2,261",   609,   187,—,—
 宜 蘭 縣 , 男 ,"   234,069","   3,872","   18,133","   4,341","   4,404","   4,682","   4,706","   22,488","   21,348","   25,178","   26,721","   22,277","   17,121","   11,179","   10,485","   11,751","   11,058","   11,287","   8,321","   5,638","   4,029","   2,065",   875,   187,   56,—,—
, 女 ,"   215,912","   3,627","   17,156","   4,116","   4,238","   4,302","   4,500","   21,213","   20,418","   23,724","   25,055","   20,412","   16,294","   10,540","   10,104","   10,926","   9,528","   7,887","   6,194","   4,684","   3,722","   2,489","   1,386",   422,   131,—,—
, 計 ,"   1,211,249","   20,063","   104,851","   24,130","   25,481","   27,128","   28,112","   137,324","   121,317","   122,903","   121,866","   114,769","   106,833","   69,616","   51,791","   47,425","   44,762","   54,627","   38,417","   23,112","   16,282","   8,810","   4,260","   1,674",   547,—,—
 桃 園 縣 , 男 ,"   636,070","   10,376","   54,048","   12,425","   13,091","   13,935","   14,597","   70,611","   62,271","   62,970","   61,729","   56,629","   52,757","   34,521","   25,287","   23,237","   25,970","   38,442","   25,869","   14,405","   9,956","   4,407","   1,853",   565,   167,—,—
, 女 ,"   575,179","   9,687","   50,803","   11,705","   12,390","   13,193","   13,515","   66,713","   59,046","   59,933","   60,137","   58,140","   54,076","   35,095","   26,504","   24,188","   18,792","   16,185","   12,548","   8,707","   6,326","   4,403","   2,407","   1,109",   380,—,—
, 計 ,"   366,566","   6,496","   30,299","   7,314","   7,464","   7,852","   7,669","   35,373","   33,060","   38,832","   42,391","   35,088","   27,135","   17,413","   15,860","   17,418","   16,294","   16,364","   12,497","   8,413","   6,087","   4,050","   2,272",   943,   281,—,—
 新 竹 縣 , 男 ,"   193,637","   3,394","   15,577","   3,744","   3,816","   4,039","   3,978","   18,440","   17,061","   19,991","   22,164","   19,059","   14,582","   9,091","   8,165","   9,052","   8,807","   9,638","   7,308","   4,613","   3,237","   1,965","   1,021",   371,   101,—,—
, 女 ,"   172,929","   3,102","   14,722","   3,570","   3,648","   3,813","   3,691","   16,933","   15,999","   18,841","   20,227","   16,029","   12,553","   8,322","   7,695","   8,366","   7,487","   6,726","   5,189","   3,800","   2,850","   2,085","   1,251",   572,   180,—,—
, 計 ,"   550,343","   10,296","   45,615","   11,129","   11,288","   11,638","   11,560","   52,410","   49,719","   58,048","   64,002","   53,065","   39,765","   26,492","   23,940","   26,360","   25,151","   23,599","   17,856","   12,875","   9,809","   6,273","   3,354","   1,334",   380,—,—
 苗 栗 縣 , 男 ,"   287,130","   5,307","   23,554","   5,723","   5,859","   5,987","   5,985","   26,839","   25,798","   29,518","   33,149","   28,882","   21,428","   14,023","   12,492","   13,912","   13,307","   12,908","   9,434","   6,667","   5,002","   2,823","   1,436",   524,   127,—,—
, 女 ,"   263,213","   4,989","   22,061","   5,406","   5,429","   5,651","   5,575","   25,571","   23,921","   28,530","   30,853","   24,183","   18,337","   12,469","   11,448","   12,448","   11,844","   10,691","   8,422","   6,208","   4,807","   3,450","   1,918",   810,   253,—,—
, 計 ,"   1,142,189","   20,839","   103,731","   24,424","   25,025","   26,629","   27,653","   134,691","   109,962","   111,951","   114,326","   109,559","   100,594","   65,262","   50,268","   48,558","   44,662","   44,287","   32,445","   21,191","   15,084","   8,823","   4,146","   1,470",   340,—,—
 臺 中 縣 , 男 ,"   590,342","   10,751","   53,426","   12,561","   12,842","   13,633","   14,390","   69,245","   56,279","   57,369","   57,267","   54,944","   51,452","   34,355","   25,946","   24,903","   24,039","   26,590","   19,037","   11,176","   7,447","   3,891","   1,628",   505,   92,—,—
, 女 ,"   551,847","   10,088","   50,305","   11,863","   12,183","   12,996","   13,263","   65,446","   53,683","   54,582","   57,059","   54,615","   49,142","   30,907","   24,322","   23,655","   20,623","   17,697","   13,408","   10,015","   7,637","   4,932","   2,518",   965,   248,—,—
, 計 ,"   1,223,209","   23,020","   109,257","   26,499","   26,784","   27,909","   28,065","   133,772","   114,912","   122,519","   131,857","   113,848","   93,218","   64,393","   53,626","   57,983","   54,606","   47,218","   35,843","   25,991","   20,432","   12,571","   5,694","   1,965",   484,—,—
 彰 化 縣 , 男 ,"   631,175","   11,986","   56,322","   13,730","   13,667","   14,345","   14,580","   68,814","   59,052","   62,776","   67,448","   60,297","   49,399","   34,138","   28,331","   30,306","   28,286","   24,923","   18,263","   12,680","   9,776","   5,361","   2,191",   684,   142,—,—
, 女 ,"   592,034","   11,034","   52,935","   12,769","   13,117","   13,564","   13,485","   64,958","   55,860","   59,743","   64,409","   53,551","   43,819","   30,255","   25,295","   27,677","   26,320","   22,295","   17,580","   13,311","   10,656","   7,210","   3,503","   1,281",   342,—,—
, 計 ,"   535,572","   9,582","   44,052","   10,645","   10,995","   11,321","   11,091","   51,031","   47,585","   56,528","   61,025","   51,240","   39,680","   27,868","   24,161","   26,629","   25,231","   22,844","   17,348","   12,138","   9,448","   5,851","   2,413",   754,   164,—,—
 南 投 縣 , 男 ,"   279,628","   4,927","   22,441","   5,364","   5,650","   5,818","   5,609","   26,506","   24,181","   28,775","   31,606","   27,919","   21,692","   14,788","   12,589","   14,021","   13,491","   12,540","   9,350","   6,216","   4,732","   2,576",   954,   277,   47,—,—
, 女 ,"   255,944","   4,655","   21,611","   5,281","   5,345","   5,503","   5,482","   24,525","   23,404","   27,753","   29,419","   23,321","   17,988","   13,080","   11,572","   12,608","   11,740","   10,304","   7,998","   5,922","   4,716","   3,275","   1,459",   477,   117,—,—
, 計 ,"   791,186","   14,401","   64,293","   16,060","   16,072","   16,287","   15,874","   75,633","   70,033","   86,307","   92,134","   70,169","   53,947","   39,450","   36,662","   41,256","   38,947","   34,077","   24,758","   19,424","   15,078","   8,833","   4,092","   1,329",   363,—,—
