 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  75 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   19,509,082","   292,230","   1,485,291","   341,029","   366,508","   378,870","   398,884","   2,021,972","   1,859,173","   1,882,543","   1,994,322","   1,913,815","   1,745,615","   1,314,369","   878,310","   889,717","   790,208","   783,297","   627,678","   437,895","   302,798","   172,868","   80,452","   28,774","   7,755",—,—
 總　　計 , 男 ,"   10,114,710","   151,010","   766,062","   176,062","   189,223","   195,055","   205,722","   1,041,447","   955,801","   966,716","   1,021,437","   978,271","   891,206","   673,229","   449,242","   450,112","   411,299","   454,885","   367,380","   245,455","   162,316","   81,030","   34,638","   10,754","   2,420",—,—
, 女 ,"   9,394,372","   141,220","   719,229","   164,967","   177,285","   183,815","   193,162","   980,525","   903,372","   915,827","   972,885","   935,544","   854,409","   641,140","   429,068","   439,605","   378,909","   328,412","   260,298","   192,440","   140,482","   91,838","   45,814","   18,020","   5,335",—,—
, 計 ,"   19,454,610","   291,286","   1,480,747","   339,962","   365,361","   377,679","   397,745","   2,015,618","   1,852,009","   1,876,448","   1,990,354","   1,909,999","   1,741,982","   1,311,660","   875,980","   887,252","   787,551","   781,165","   625,998","   436,666","   301,668","   172,105","   79,967","   28,532","   7,623",—,—
 臺灣地區 , 男 ,"   10,086,389","   150,517","   763,682","   175,495","   188,631","   194,434","   205,122","   1,038,203","   952,157","   963,300","   1,019,116","   976,282","   889,528","   671,951","   448,012","   448,652","   409,768","   453,785","   366,522","   244,835","   161,847","   80,705","   34,460","   10,679","   2,388",—,—
, 女 ,"   9,368,221","   140,769","   717,065","   164,467","   176,730","   183,245","   192,623","   977,415","   899,852","   913,148","   971,238","   933,717","   852,454","   639,709","   427,968","   438,600","   377,783","   327,380","   259,476","   191,831","   139,821","   91,400","   45,507","   17,853","   5,235",—,—
, 計 ,"   15,558,878","   239,574","   1,211,435","   278,797","   299,654","   308,605","   324,379","   1,626,525","   1,479,933","   1,524,497","   1,629,833","   1,516,894","   1,338,081","   991,903","   675,997","   706,365","   638,782","   635,436","   502,699","   353,906","   246,294","   144,046","   66,783","   23,671","   6,224",—,—
臺  灣  省, 男 ,"   8,097,237","   123,769","   624,260","   143,673","   154,499","   158,848","   167,240","   837,179","   760,119","   782,499","   839,043","   786,534","   694,281","   514,465","   347,374","   359,455","   333,234","   367,907","   292,988","   196,847","   131,259","   66,845","   28,430","   8,799","   1,950",—,—
, 女 ,"   7,461,641","   115,805","   587,175","   135,124","   145,155","   149,757","   157,139","   789,346","   719,814","   741,998","   790,790","   730,360","   643,800","   477,438","   328,623","   346,910","   305,548","   267,529","   209,711","   157,059","   115,035","   77,201","   38,353","   14,872","   4,274",—,—
, 計 ,"   2,727,510","   43,051","   225,966","   50,540","   55,081","   58,108","   62,237","   317,586","   268,165","   246,513","   252,706","   283,865","   288,534","   203,234","   123,189","   110,383","   90,005","   88,587","   73,360","   49,622","   33,438","   17,217","   8,418","   2,858",   813,—,—
 臺 北 縣 , 男 ,"   1,401,914","   22,015","   116,034","   25,922","   28,176","   29,904","   32,032","   163,859","   138,078","   126,845","   125,502","   137,556","   144,426","   104,633","   63,795","   55,388","   47,092","   52,470","   43,423","   28,698","   18,447","   8,522","   3,800","   1,071",   260,—,—
, 女 ,"   1,325,596","   21,036","   109,932","   24,618","   26,905","   28,204","   30,205","   153,727","   130,087","   119,668","   127,204","   146,309","   144,108","   98,601","   59,394","   54,995","   42,913","   36,117","   29,937","   20,924","   14,991","   8,695","   4,618","   1,787",   553,—,—
, 計 ,"   448,418","   6,803","   33,227","   7,746","   8,254","   8,433","   8,794","   42,963","   41,638","   47,026","   51,119","   43,218","   34,139","   24,310","   19,261","   22,717","   20,762","   19,337","   15,263","   10,721","   7,932","   4,764","   2,360",   670,   188,—,—
 宜 蘭 縣 , 男 ,"   233,082","   3,582","   17,048","   3,958","   4,211","   4,297","   4,582","   22,129","   21,283","   24,163","   26,330","   22,571","   17,602","   12,401","   9,842","   11,710","   11,033","   11,229","   8,813","   5,815","   4,170","   2,156",   928,   222,   55,—,—
, 女 ,"   215,336","   3,221","   16,179","   3,788","   4,043","   4,136","   4,212","   20,834","   20,355","   22,863","   24,789","   20,647","   16,537","   11,909","   9,419","   11,007","   9,729","   8,108","   6,450","   4,906","   3,762","   2,608","   1,432",   448,   133,—,—
, 計 ,"   1,232,209","   18,664","   100,134","   22,130","   24,637","   25,986","   27,381","   138,305","   124,339","   122,906","   123,637","   116,601","   110,014","   79,088","   51,819","   49,157","   43,572","   53,963","   41,311","   24,869","   17,375","   9,434","   4,582","   1,882",   557,—,—
 桃 園 縣 , 男 ,"   646,493","   9,805","   51,464","   11,355","   12,641","   13,354","   14,114","   70,901","   63,950","   63,158","   62,822","   57,773","   54,555","   39,320","   25,277","   24,090","   23,884","   37,333","   28,011","   15,650","   10,733","   4,932","   2,017",   667,   151,—,—
, 女 ,"   585,716","   8,859","   48,670","   10,775","   11,996","   12,632","   13,267","   67,404","   60,389","   59,748","   60,815","   58,828","   55,459","   39,768","   26,542","   25,067","   19,688","   16,630","   13,300","   9,219","   6,642","   4,502","   2,565","   1,215",   406,—,—
, 計 ,"   367,019","   6,169","   29,030","   6,737","   7,289","   7,302","   7,702","   35,130","   33,049","   37,466","   41,732","   35,783","   27,942","   19,602","   15,061","   17,522","   16,271","   16,407","   13,086","   8,850","   6,264","   4,086","   2,368",   913,   288,—,—
 新 竹 縣 , 男 ,"   193,961","   3,222","   14,911","   3,507","   3,703","   3,743","   3,958","   18,247","   16,974","   19,255","   21,860","   19,439","   15,100","   10,242","   7,871","   9,074","   8,645","   9,636","   7,625","   4,921","   3,372","   1,981","   1,104",   383,   99,—,—
, 女 ,"   173,058","   2,947","   14,119","   3,230","   3,586","   3,559","   3,744","   16,883","   16,075","   18,211","   19,872","   16,344","   12,842","   9,360","   7,190","   8,448","   7,626","   6,771","   5,461","   3,929","   2,892","   2,105","   1,264",   530,   189,—,—
, 計 ,"   548,187","   9,019","   43,381","   10,509","   10,741","   10,869","   11,262","   52,202","   49,149","   56,232","   62,682","   53,835","   40,423","   29,339","   22,617","   26,776","   24,537","   24,207","   18,484","   13,591","   9,935","   6,377","   3,593","   1,416",   392,—,—
 苗 栗 縣 , 男 ,"   286,137","   4,629","   22,358","   5,451","   5,515","   5,599","   5,793","   26,775","   25,426","   28,688","   32,322","   29,381","   22,044","   15,440","   11,786","   14,079","   12,932","   13,163","   9,872","   7,009","   5,103","   2,939","   1,506",   548,   137,—,—
, 女 ,"   262,050","   4,390","   21,023","   5,058","   5,226","   5,270","   5,469","   25,427","   23,723","   27,544","   30,360","   24,454","   18,379","   13,899","   10,831","   12,697","   11,605","   11,044","   8,612","   6,582","   4,832","   3,438","   2,087",   868,   255,—,—
