 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  69 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   17,866,008","   375,537","   1,621,886","   410,131","   403,450","   388,533","   419,772","   1,818,311","   1,923,514","   2,007,132","   1,921,838","   1,735,025","   1,174,823","   907,198","   886,526","   817,873","   811,082","   645,616","   453,507","   351,496","   218,156","   119,029","   53,811","   18,243","   5,405",—,—
 總　　計 , 男 ,"   9,320,105","   193,883","   837,998","   211,922","   208,900","   200,295","   216,881","   935,627","   989,923","   1,028,905","   983,464","   887,073","   603,824","   466,043","   451,844","   438,471","   482,632","   382,148","   258,184","   191,160","   106,484","   53,474","   21,252","   6,289","   1,427",—,—
, 女 ,"   8,545,903","   181,654","   783,888","   198,209","   194,550","   188,238","   202,891","   882,684","   933,591","   978,227","   938,374","   847,952","   570,999","   441,155","   434,682","   379,402","   328,450","   263,468","   195,323","   160,336","   111,672","   65,555","   32,559","   11,954","   3,978",—,—
, 計 ,"   17,805,067","   374,269","   1,616,055","   408,677","   402,024","   387,087","   418,267","   1,810,077","   1,913,895","   2,000,950","   1,917,390","   1,730,828","   1,171,952","   904,588","   883,633","   814,868","   808,707","   643,581","   452,031","   350,092","   217,158","   118,307","   53,405","   18,010","   5,271",—,—
 臺灣地區 , 男 ,"   9,288,199","   193,222","   834,991","   211,199","   208,154","   199,583","   216,055","   931,380","   984,989","   1,025,231","   980,819","   885,014","   602,465","   464,663","   450,153","   436,765","   481,467","   381,081","   257,398","   190,544","   106,085","   53,192","   21,119","   6,228","   1,393",—,—
, 女 ,"   8,516,868","   181,047","   781,064","   197,478","   193,870","   187,504","   202,212","   878,697","   928,906","   975,719","   936,571","   845,814","   569,487","   439,925","   433,480","   378,103","   327,240","   262,500","   194,633","   159,548","   111,073","   65,115","   32,286","   11,782","   3,878",—,—
, 計 ,"   14,382,517","   310,376","   1,325,179","   337,591","   330,959","   317,870","   338,759","   1,460,069","   1,555,168","   1,653,976","   1,570,859","   1,361,102","   897,404","   706,048","   707,948","   663,124","   654,157","   514,647","   365,518","   288,694","   182,782","   100,226","   45,586","   15,248","   4,406",—,—
臺  灣  省, 男 ,"   7,515,794","   159,785","   683,663","   174,256","   171,135","   163,701","   174,571","   750,280","   799,297","   847,638","   810,535","   707,342","   468,004","   365,721","   363,347","   355,336","   386,196","   300,730","   204,854","   155,407","   88,382","   44,786","   18,005","   5,296","   1,190",—,—
, 女 ,"   6,866,723","   150,591","   641,516","   163,335","   159,824","   154,169","   164,188","   709,789","   755,871","   806,338","   760,324","   653,760","   429,400","   340,327","   344,601","   307,788","   267,961","   213,917","   160,664","   133,287","   94,400","   55,440","   27,581","   9,952","   3,216",—,—
