 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  84 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   21,357,431","   302,164","   1,288,321","   320,797","   325,922","   321,485","   320,117","   1,601,359","   1,884,239","   2,008,335","   1,779,571","   1,881,015","   1,958,377","   1,858,380","   1,670,238","   1,120,607","   848,364","   810,191","   715,216","   663,674","   470,126","   270,923","   152,575","   55,713","   14,924","   2,614",   505
 總　　計 , 男 ,"   10,990,657","   156,946","   671,958","   167,116","   169,318","   167,972","   167,552","   832,631","   971,636","   1,032,061","   911,104","   962,374","   999,400","   945,331","   848,300","   568,978","   426,680","   400,396","   370,095","   380,492","   264,749","   143,043","   74,364","   23,301","   5,738",   905,   175
, 女 ,"   10,366,774","   145,218","   616,363","   153,681","   156,604","   153,513","   152,565","   768,728","   912,603","   976,274","   868,467","   918,641","   958,977","   913,049","   821,938","   551,629","   421,684","   409,795","   345,121","   283,182","   205,377","   127,880","   78,211","   32,412","   9,186","   1,709",   330
, 計 ,"   21,304,181","   301,493","   1,285,502","   320,098","   325,212","   320,806","   319,386","   1,596,784","   1,878,688","   2,002,458","   1,774,892","   1,877,894","   1,954,992","   1,854,746","   1,666,789","   1,118,193","   846,010","   807,582","   712,653","   661,843","   468,636","   269,939","   151,870","   55,364","   14,770","   2,585",   498
 臺灣地區 , 男 ,"   10,962,590","   156,604","   670,507","   166,750","   168,974","   167,624","   167,159","   830,260","   968,743","   1,029,064","   908,381","   960,490","   997,533","   943,499","   846,646","   567,755","   425,343","   398,848","   368,615","   379,612","   264,038","   142,583","   74,121","   23,194","   5,683",   898,   173
, 女 ,"   10,341,591","   144,889","   614,995","   153,348","   156,238","   153,182","   152,227","   766,524","   909,945","   973,394","   866,511","   917,404","   957,459","   911,247","   820,143","   550,438","   420,667","   408,734","   344,038","   282,231","   204,598","   127,356","   77,749","   32,170","   9,087","   1,687",   325
, 計 ,"   17,245,283","   251,822","   1,070,439","   267,400","   271,431","   266,912","   264,696","   1,311,701","   1,528,156","   1,637,177","   1,454,303","   1,536,006","   1,582,713","   1,467,670","   1,294,571","   865,207","   675,700","   660,941","   589,741","   541,675","   377,039","   217,826","   123,553","   45,166","   11,665","   1,931",   281
臺  灣  省, 男 ,"   8,917,695","   130,595","   557,669","   139,116","   140,878","   139,397","   138,278","   681,074","   787,077","   842,008","   745,857","   793,124","   819,474","   759,767","   666,220","   442,776","   341,660","   329,168","   305,609","   309,403","   210,337","   113,013","   59,222","   18,507","   4,373",   659,   103
, 女 ,"   8,327,588","   121,227","   512,770","   128,284","   130,553","   127,515","   126,418","   630,627","   741,079","   795,169","   708,446","   742,882","   763,239","   707,903","   628,351","   422,431","   334,040","   331,773","   284,132","   232,272","   166,702","   104,813","   64,331","   26,659","   7,292","   1,272",   178
, 計 ,"   3,305,615","   45,625","   203,735","   49,444","   51,414","   51,299","   51,578","   266,162","   308,303","   324,130","   274,802","   287,077","   322,961","   314,915","   279,022","   175,964","   121,311","   103,493","   83,596","   78,891","   56,733","   32,408","   18,051","   6,256","   1,816",   295,   69
 臺 北 縣 , 男 ,"   1,680,948","   23,469","   105,794","   25,591","   26,671","   26,744","   26,788","   137,643","   158,662","   167,126","   140,912","   141,989","   156,273","   155,215","   139,278","   88,597","   61,072","   50,240","   43,949","   46,726","   33,195","   17,975","   9,170","   2,795",   728,   110,   30
, 女 ,"   1,624,667","   22,156","   97,941","   23,853","   24,743","   24,555","   24,790","   128,519","   149,641","   157,004","   133,890","   145,088","   166,688","   159,700","   139,744","   87,367","   60,239","   53,253","   39,647","   32,165","   23,538","   14,433","   8,881","   3,461","   1,088",   185,   39
, 計 ,"   465,043","   7,140","   29,522","   7,363","   7,685","   7,298","   7,176","   33,710","   38,840","   42,372","   40,599","   43,499","   40,746","   36,031","   31,496","   21,049","   19,804","   21,290","   18,648","   16,269","   11,263","   6,908","   3,900","   1,520",   376,   50,   11
 宜 蘭 縣 , 男 ,"   241,017","   3,700","   15,261","   3,804","   3,874","   3,872","   3,711","   17,577","   19,827","   21,886","   20,567","   22,913","   21,691","   18,739","   16,149","   10,754","   10,033","   10,888","   9,775","   9,213","   6,065","   3,477","   1,803",   554,   125,   15,   5
, 女 ,"   224,026","   3,440","   14,261","   3,559","   3,811","   3,426","   3,465","   16,133","   19,013","   20,486","   20,032","   20,586","   19,055","   17,292","   15,347","   10,295","   9,771","   10,402","   8,873","   7,056","   5,198","   3,431","   2,097",   966,   251,   35,   6
, 計 ,"   1,524,127","   23,678","   102,251","   25,593","   25,517","   25,561","   25,580","   128,461","   146,556","   144,356","   126,060","   136,876","   145,827","   134,613","   113,874","   70,823","   51,988","   46,395","   42,017","   48,436","   31,658","   16,678","   9,055","   3,312",   957,   224,   32
 桃 園 縣 , 男 ,"   790,390","   12,271","   53,637","   13,347","   13,307","   13,505","   13,478","   66,999","   75,711","   74,097","   64,186","   68,738","   72,897","   67,668","   56,766","   34,727","   24,929","   22,153","   23,766","   33,632","   21,079","   10,052","   5,178","   1,474",   349,   74,   7
, 女 ,"   733,737","   11,407","   48,614","   12,246","   12,210","   12,056","   12,102","   61,462","   70,845","   70,259","   61,874","   68,138","   72,930","   66,945","   57,108","   36,096","   27,059","   24,242","   18,251","   14,804","   10,579","   6,626","   3,877","   1,838",   608,   150,   25
, 計 ,"   408,577","   7,318","   30,180","   7,732","   7,662","   7,451","   7,335","   32,469","   34,265","   35,437","   33,290","   37,481","   38,441","   32,181","   26,543","   17,409","   15,721","   16,872","   15,288","   14,265","   9,899","   6,002","   3,452","   1,489",   474,   89,   12
 新 竹 縣 , 男 ,"   215,240","   3,744","   15,727","   3,966","   4,042","   3,847","   3,872","   16,939","   17,576","   18,332","   17,160","   19,618","   20,994","   17,771","   14,203","   9,064","   8,102","   8,731","   8,140","   8,078","   5,377","   3,126","   1,680",   662,   179,   35,   2
