 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  77 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   19,954,397","   314,365","   1,329,529","   312,614","   308,821","   342,168","   365,926","   2,004,593","   1,930,385","   1,846,493","   1,937,671","   1,969,663","   1,809,836","   1,530,050","   945,091","   914,310","   812,147","   778,968","   685,509","   489,410","   319,667","   202,989","   91,266","   33,041","   9,414",—,—
 總　　計 , 男 ,"   10,328,081","   163,717","   687,158","   162,248","   159,442","   176,539","   188,929","   1,032,898","   993,204","   946,268","   992,769","   1,007,453","   924,044","   781,227","   482,685","   463,632","   410,988","   433,808","   403,571","   276,956","   171,685","   100,312","   39,687","   12,973","   3,046",—,—
, 女 ,"   9,626,316","   150,648","   642,371","   150,366","   149,379","   165,629","   176,997","   971,695","   937,181","   900,225","   944,902","   962,210","   885,792","   748,823","   462,406","   450,678","   401,159","   345,160","   281,938","   212,454","   147,982","   102,677","   51,579","   20,068","   6,368",—,—
, 計 ,"   19,903,812","   313,466","   1,325,660","   311,739","   307,888","   341,169","   364,864","   1,998,724","   1,923,891","   1,841,107","   1,934,327","   1,966,452","   1,806,277","   1,527,207","   942,836","   912,104","   809,586","   776,668","   683,760","   488,145","   318,649","   202,179","   90,739","   32,750","   9,285",—,—
 臺灣地區 , 男 ,"   10,301,796","   163,250","   685,169","   161,802","   158,961","   176,016","   188,390","   1,029,859","   989,919","   943,251","   990,804","   1,005,758","   922,377","   779,932","   481,528","   462,377","   409,481","   432,522","   402,700","   276,292","   171,217","   99,987","   39,482","   12,873","   3,018",—,—
, 女 ,"   9,602,016","   150,216","   640,491","   149,937","   148,927","   165,153","   176,474","   968,865","   933,972","   897,856","   943,523","   960,694","   883,900","   747,275","   461,308","   449,727","   400,105","   344,146","   281,060","   211,853","   147,432","   102,192","   51,257","   19,877","   6,267",—,—
, 計 ,"   15,859,869","   256,715","   1,078,139","   254,312","   250,343","   277,446","   296,038","   1,608,167","   1,538,061","   1,487,238","   1,577,056","   1,567,149","   1,389,111","   1,155,842","   716,262","   718,326","   652,890","   633,793","   552,525","   392,575","   258,397","   167,614","   75,617","   26,894","   7,498",—,—
臺  灣  省, 男 ,"   8,244,086","   133,728","   556,324","   131,806","   128,938","   142,859","   152,721","   827,748","   791,019","   761,972","   812,130","   812,321","   721,041","   598,389","   368,046","   366,086","   331,828","   352,630","   324,725","   220,738","   137,850","   82,163","   32,499","   10,409","   2,440",—,—
, 女 ,"   7,615,783","   122,987","   521,815","   122,506","   121,405","   134,587","   143,317","   780,419","   747,042","   725,266","   764,926","   754,828","   668,070","   557,453","   348,216","   352,240","   321,062","   281,163","   227,800","   171,837","   120,547","   85,451","   43,118","   16,485","   5,058",—,—
, 計 ,"   2,888,326","   47,490","   208,913","   48,446","   48,403","   54,085","   57,979","   324,155","   293,070","   258,827","   256,086","   292,304","   298,917","   246,058","   139,903","   122,093","   97,383","   91,014","   81,333","   58,237","   36,889","   21,411","   9,734","   3,537",   972,—,—
 臺 北 縣 , 男 ,"   1,482,632","   24,643","   107,272","   24,990","   24,571","   27,889","   29,822","   166,866","   151,010","   133,180","   128,435","   142,765","   148,811","   125,196","   71,860","   61,851","   48,860","   51,882","   48,551","   33,995","   20,390","   10,894","   4,446","   1,410",   315,—,—
, 女 ,"   1,405,694","   22,847","   101,641","   23,456","   23,832","   26,196","   28,157","   157,289","   142,060","   125,647","   127,651","   149,539","   150,106","   120,862","   68,043","   60,242","   48,523","   39,132","   32,782","   24,242","   16,499","   10,517","   5,288","   2,127",   657,—,—
, 計 ,"   447,643","   7,314","   29,134","   7,156","   6,789","   7,428","   7,761","   41,583","   41,429","   44,258","   48,610","   44,931","   35,018","   28,462","   18,225","   22,362","   21,158","   19,714","   16,359","   11,898","   8,125","   5,428","   2,549",   888,   198,—,—
 宜 蘭 縣 , 男 ,"   232,582","   3,815","   15,018","   3,704","   3,568","   3,808","   3,938","   21,428","   21,175","   22,740","   25,098","   23,567","   18,219","   14,524","   9,305","   11,380","   11,040","   10,874","   9,613","   6,549","   4,227","   2,614","   1,044",   294,   58,—,—
, 女 ,"   215,061","   3,499","   14,116","   3,452","   3,221","   3,620","   3,823","   20,155","   20,254","   21,518","   23,512","   21,364","   16,799","   13,938","   8,920","   10,982","   10,118","   8,840","   6,746","   5,349","   3,898","   2,814","   1,505",   594,   140,—,—
, 計 ,"   1,288,626","   21,413","   90,082","   20,572","   20,532","   23,103","   25,875","   143,257","   131,725","   124,225","   123,941","   123,975","   116,392","   95,664","   56,035","   51,609","   43,274","   50,082","   48,381","   29,760","   19,410","   11,529","   5,073","   2,107",   692,—,—
 桃 園 縣 , 男 ,"   674,929","   11,194","   46,767","   10,649","   10,761","   11,928","   13,429","   73,570","   67,980","   63,624","   63,154","   61,785","   57,863","   47,445","   27,426","   24,990","   21,556","   32,568","   33,748","   19,221","   12,087","   6,655","   2,313",   797,   186,—,—
, 女 ,"   613,697","   10,219","   43,315","   9,923","   9,771","   11,175","   12,446","   69,687","   63,745","   60,601","   60,787","   62,190","   58,529","   48,219","   28,609","   26,619","   21,718","   17,514","   14,633","   10,539","   7,323","   4,874","   2,760","   1,310",   506,—,—
, 計 ,"   368,228","   6,702","   25,851","   6,318","   6,179","   6,486","   6,868","   35,186","   33,207","   35,373","   39,115","   37,537","   29,239","   22,747","   14,805","   17,031","   16,533","   16,018","   14,145","   9,826","   6,652","   4,392","   2,482","   1,039",   348,—,—
 新 竹 縣 , 男 ,"   194,582","   3,477","   13,300","   3,287","   3,160","   3,365","   3,488","   18,090","   17,167","   18,150","   20,457","   20,319","   15,939","   12,017","   7,729","   8,805","   8,670","   9,047","   8,378","   5,473","   3,573","   2,258","   1,153",   439,   141,—,—
, 女 ,"   173,646","   3,225","   12,551","   3,031","   3,019","   3,121","   3,380","   17,096","   16,040","   17,223","   18,658","   17,218","   13,300","   10,730","   7,076","   8,226","   7,863","   6,971","   5,767","   4,353","   3,079","   2,134","   1,329",   600,   207,—,—
, 計 ,"   545,978","   9,774","   37,926","   9,267","   8,815","   9,794","   10,050","   51,542","   48,474","   52,707","   58,435","   55,807","   41,836","   33,471","   22,283","   25,921","   25,163","   24,150","   20,350","   14,737","   10,382","   7,088","   3,872","   1,583",   477,—,—
 苗 栗 縣 , 男 ,"   285,502","   5,126","   19,571","   4,813","   4,531","   5,065","   5,162","   26,576","   24,845","   27,123","   30,147","   30,285","   22,939","   17,771","   11,665","   13,550","   13,229","   12,934","   10,999","   7,653","   5,234","   3,446","   1,641",   613,   155,—,—
, 女 ,"   260,476","   4,648","   18,355","   4,454","   4,284","   4,729","   4,888","   24,966","   23,629","   25,584","   28,288","   25,522","   18,897","   15,700","   10,618","   12,371","   11,934","   11,216","   9,351","   7,084","   5,148","   3,642","   2,231",   970,   322,—,—
, 計 ,"   1,210,475","   20,619","   89,985","   20,797","   20,729","   23,477","   24,982","   137,157","   125,268","   112,981","   114,632","   116,789","   108,613","   89,441","   54,395","   51,831","   45,628","   44,423","   38,639","   25,809","   16,572","   10,514","   4,908","   1,794",   477,—,—
 臺 中 縣 , 男 ,"   624,750","   10,716","   46,377","   10,758","   10,702","   12,035","   12,882","   70,395","   64,075","   57,827","   57,875","   58,427","   55,489","   46,679","   28,284","   26,512","   23,359","   25,113","   23,469","   14,275","   8,302","   4,830","   1,989",   612,   145,—,—
, 女 ,"   585,725","   9,903","   43,608","   10,039","   10,027","   11,442","   12,100","   66,762","   61,193","   55,154","   56,757","   58,362","   53,124","   42,762","   26,111","   25,319","   22,269","   19,310","   15,170","   11,534","   8,270","   5,684","   2,919","   1,182",   332,—,—
, 計 ,"   1,232,492","   21,119","   90,582","   21,290","   21,320","   23,351","   24,621","   129,906","   123,394","   115,184","   123,205","   117,732","   98,641","   81,440","   52,784","   57,003","   54,915","   50,741","   40,739","   29,757","   20,817","   14,687","   6,893","   2,357",   596,—,—
 彰 化 縣 , 男 ,"   636,270","   11,213","   47,033","   11,161","   10,947","   12,156","   12,769","   66,833","   63,534","   58,905","   63,100","   61,644","   52,510","   42,966","   27,967","   30,058","   28,394","   26,345","   21,171","   14,476","   9,918","   6,506","   2,661",   850,   186,—,—
, 女 ,"   596,222","   9,906","   43,549","   10,129","   10,373","   11,195","   11,852","   63,073","   59,860","   56,279","   60,105","   56,088","   46,131","   38,474","   24,817","   26,945","   26,521","   24,396","   19,568","   15,281","   10,899","   8,181","   4,232","   1,507",   410,—,—
, 計 ,"   533,763","   8,750","   37,329","   8,986","   8,950","   9,560","   9,833","   49,916","   46,934","   50,615","   56,695","   53,821","   41,964","   34,603","   23,417","   25,977","   25,029","   24,206","   19,601","   14,061","   9,728","   6,723","   3,177","   1,017",   200,—,—
 南 投 縣 , 男 ,"   279,129","   4,542","   19,237","   4,676","   4,592","   4,987","   4,982","   25,860","   24,115","   25,768","   29,325","   28,917","   22,907","   18,598","   12,257","   13,631","   13,080","   13,018","   10,744","   7,325","   4,876","   3,167","   1,307",   400,   55,—,—
, 女 ,"   254,634","   4,208","   18,092","   4,310","   4,358","   4,573","   4,851","   24,056","   22,819","   24,847","   27,370","   24,904","   19,057","   16,005","   11,160","   12,346","   11,949","   11,188","   8,857","   6,736","   4,852","   3,556","   1,870",   617,   145,—,—
, 計 ,"   765,443","   12,483","   51,796","   12,788","   12,164","   13,288","   13,556","   67,677","   70,082","   73,849","   85,481","   71,893","   53,588","   46,426","   34,489","   39,816","   39,057","   36,383","   28,812","   20,848","   15,347","   10,635","   4,777","   1,564",   440,—,—
