 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  79 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   20,401,305","   323,952","   1,289,336","   315,676","   343,036","   317,688","   312,936","   1,893,288","   2,018,789","   1,796,472","   1,902,136","   1,974,557","   1,871,518","   1,684,644","   1,145,237","   887,542","   851,976","   765,281","   727,946","   546,450","   346,810","   222,946","   103,599","   38,266","   10,560",—,—
 總　　計 , 男 ,"   10,540,635","   169,026","   667,283","   163,555","   177,621","   164,607","   161,500","   974,530","   1,038,378","   919,522","   974,754","   1,011,861","   957,301","   859,616","   585,909","   450,964","   428,066","   402,381","   422,559","   312,353","   188,119","   113,229","   45,807","   15,456","   3,521",—,—
, 女 ,"   9,860,670","   154,926","   622,053","   152,121","   165,415","   153,081","   151,436","   918,758","   980,411","   876,950","   927,382","   962,696","   914,217","   825,028","   559,328","   436,578","   423,910","   362,900","   305,387","   234,097","   158,691","   109,717","   57,792","   22,810","   7,039",—,—
, 計 ,"   20,352,966","   323,254","   1,285,827","   314,877","   342,139","   316,788","   312,023","   1,887,796","   2,012,760","   1,791,450","   1,899,251","   1,971,531","   1,868,195","   1,681,608","   1,142,984","   885,474","   849,596","   762,834","   726,129","   545,018","   345,744","   222,061","   103,063","   37,978","   10,413",—,—
 臺灣地區 , 男 ,"   10,515,585","   168,660","   665,500","   163,137","   177,171","   164,154","   161,038","   971,667","   1,035,360","   916,824","   972,998","   1,010,178","   955,674","   858,236","   584,796","   449,805","   426,673","   400,957","   421,632","   311,647","   187,617","   112,898","   45,626","   15,361","   3,476",—,—
, 女 ,"   9,837,381","   154,594","   620,327","   151,740","   164,968","   152,634","   150,985","   916,129","   977,400","   874,626","   926,253","   961,353","   912,521","   823,372","   558,188","   435,669","   422,923","   361,877","   304,497","   233,371","   158,127","   109,163","   57,437","   22,617","   6,937",—,—
, 計 ,"   16,246,584","   263,714","   1,047,178","   257,090","   278,816","   258,217","   253,055","   1,524,956","   1,618,083","   1,448,804","   1,548,134","   1,581,755","   1,453,230","   1,280,441","   863,872","   691,895","   682,908","   622,874","   592,467","   438,779","   280,016","   182,007","   85,878","   31,158","   8,435",—,—
臺  灣  省, 男 ,"   8,433,635","   137,686","   542,527","   133,489","   144,543","   133,857","   130,638","   784,479","   831,664","   742,079","   796,927","   820,617","   755,208","   662,739","   445,657","   353,181","   345,156","   328,055","   343,402","   249,871","   150,424","   91,443","   37,373","   12,357","   2,790",—,—
, 女 ,"   7,812,949","   126,028","   504,651","   123,601","   134,273","   124,360","   122,417","   740,477","   786,419","   706,725","   751,207","   761,138","   698,022","   617,702","   418,215","   338,714","   337,752","   294,819","   249,065","   188,908","   129,592","   90,564","   48,505","   18,801","   5,645",—,—
, 計 ,"   3,048,034","   50,696","   208,285","   50,544","   54,641","   51,963","   51,137","   313,842","   317,560","   267,317","   264,815","   298,851","   312,223","   277,299","   176,323","   128,479","   109,434","   89,772","   85,903","   65,482","   40,599","   24,853","   10,914","   4,275","   1,112",—,—
 臺 北 縣 , 男 ,"   1,562,201","   26,578","   107,284","   26,180","   28,040","   26,913","   26,151","   161,461","   163,749","   136,888","   133,863","   146,564","   154,846","   140,728","   90,278","   65,423","   54,271","   47,787","   50,697","   38,509","   22,886","   13,113","   5,139","   1,762",   375,—,—
, 女 ,"   1,485,833","   24,118","   101,001","   24,364","   26,601","   25,050","   24,986","   152,381","   153,811","   130,429","   130,952","   152,287","   157,377","   136,571","   86,045","   63,056","   55,163","   41,985","   35,206","   26,973","   17,713","   11,740","   5,775","   2,513",   737,—,—
, 計 ,"   450,943","   7,379","   28,412","   7,202","   7,665","   6,951","   6,594","   38,935","   42,136","   40,952","   47,396","   44,749","   36,907","   31,419","   21,025","   20,053","   21,964","   19,712","   17,891","   13,055","   8,814","   5,933","   2,869","   1,093",   249,—,—
 宜 蘭 縣 , 男 ,"   234,261","   3,908","   14,835","   3,749","   3,995","   3,603","   3,488","   19,973","   21,724","   20,838","   24,478","   23,526","   19,241","   16,098","   10,783","   10,142","   11,323","   10,476","   10,373","   7,275","   4,649","   2,939","   1,217",   398,   65,—,—
