 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  68 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   17,543,067","   381,037","   1,584,765","   405,918","   388,577","   422,332","   367,938","   1,838,232","   1,936,675","   2,013,825","   1,899,480","   1,658,205","   1,047,011","   938,976","   860,684","   823,132","   790,881","   611,983","   430,398","   338,551","   207,089","   110,593","   49,748","   16,600","   5,202",—,—
 總　　計 , 男 ,"   9,160,239","   197,546","   817,428","   210,024","   200,350","   217,823","   189,231","   946,018","   995,791","   1,033,377","   971,313","   848,038","   538,128","   481,806","   438,580","   454,348","   475,219","   360,155","   243,917","   182,103","   101,025","   49,275","   19,285","   5,576","   1,311",—,—
, 女 ,"   8,382,828","   183,491","   767,337","   195,894","   188,227","   204,509","   178,707","   892,214","   940,884","   980,448","   928,167","   810,167","   508,883","   457,170","   422,104","   368,784","   315,662","   251,828","   186,481","   156,448","   106,064","   61,318","   30,463","   11,024","   3,891",—,—
, 計 ,"   17,479,314","   379,672","   1,578,647","   404,391","   387,066","   420,754","   366,436","   1,829,338","   1,926,405","   2,007,553","   1,894,868","   1,653,992","   1,044,180","   936,114","   857,560","   819,985","   788,429","   609,910","   428,900","   337,070","   206,103","   109,805","   49,335","   16,350","   5,098",—,—
 臺灣地區 , 男 ,"   9,126,925","   196,871","   814,249","   209,231","   199,585","   216,971","   188,462","   941,369","   990,555","   1,029,616","   968,667","   845,994","   536,784","   480,268","   436,754","   452,579","   474,044","   359,047","   243,124","   181,453","   100,632","   48,976","   19,147","   5,508","   1,288",—,—
, 女 ,"   8,352,389","   182,801","   764,398","   195,160","   187,481","   203,783","   177,974","   887,969","   935,850","   977,937","   926,201","   807,998","   507,396","   455,846","   420,806","   367,406","   314,385","   250,863","   185,776","   155,617","   105,471","   60,829","   30,188","   10,842","   3,810",—,—
, 計 ,"   14,110,100","   316,620","   1,288,027","   332,726","   318,032","   340,509","   296,760","   1,471,020","   1,568,255","   1,658,845","   1,548,801","   1,294,074","   800,351","   732,867","   688,689","   666,904","   633,651","   487,164","   348,454","   278,979","   174,322","   92,901","   42,123","   13,787","   4,266",—,—
臺  灣  省, 男 ,"   7,378,357","   164,158","   664,161","   172,148","   164,043","   175,302","   152,668","   755,802","   805,087","   850,737","   799,069","   673,600","   416,801","   379,148","   353,569","   366,735","   377,151","   282,164","   194,223","   148,474","   84,199","   41,193","   16,343","   4,659","   1,084",—,—
, 女 ,"   6,731,743","   152,462","   623,866","   160,578","   153,989","   165,207","   144,092","   715,218","   763,168","   808,108","   749,732","   620,474","   383,550","   353,719","   335,120","   300,169","   256,500","   205,000","   154,231","   130,505","   90,123","   51,708","   25,780","   9,128","   3,182",—,—
, 計 ,"   2,135,007","   51,430","   223,181","   56,462","   54,619","   60,042","   52,058","   244,789","   220,926","   214,677","   219,540","   235,701","   152,070","   121,637","   96,761","   86,929","   84,667","   66,879","   45,475","   33,365","   19,930","   10,469","   4,477","   1,569",   535,—,—
 臺 北 縣 , 男 ,"   1,106,566","   26,694","   114,766","   29,080","   28,157","   30,959","   26,570","   126,034","   113,841","   109,945","   105,823","   114,365","   78,049","   63,896","   49,383","   49,056","   52,064","   40,461","   26,604","   18,436","   10,144","   4,728","   1,682",   481,   114,—,—
, 女 ,"   1,028,441","   24,736","   108,415","   27,382","   26,462","   29,083","   25,488","   118,755","   107,085","   104,732","   113,717","   121,336","   74,021","   57,741","   47,378","   37,873","   32,603","   26,418","   18,871","   14,929","   9,786","   5,741","   2,795","   1,088",   421,—,—
, 計 ,"   440,366","   9,457","   37,375","   9,825","   9,240","   9,818","   8,492","   44,443","   50,418","   55,014","   50,156","   37,253","   21,247","   23,083","   22,983","   21,598","   19,678","   15,492","   11,582","   9,381","   6,115","   3,314","   1,207",   434,   136,—,—
 宜 蘭 縣 , 男 ,"   231,734","   4,874","   19,321","   5,039","   4,854","   5,084","   4,344","   22,721","   26,127","   28,322","   26,224","   19,754","   11,212","   11,938","   12,151","   11,922","   11,730","   8,978","   6,552","   5,103","   2,866","   1,378",   399,   127,   35,—,—
, 女 ,"   208,632","   4,583","   18,054","   4,786","   4,386","   4,734","   4,148","   21,722","   24,291","   26,692","   23,932","   17,499","   10,035","   11,145","   10,832","   9,676","   7,948","   6,514","   5,030","   4,278","   3,249","   1,936",   808,   307,   101,—,—
, 計 ,"   1,013,033","   23,232","   96,572","   24,661","   23,510","   25,874","   22,527","   117,348","   117,954","   112,537","   102,204","   91,890","   58,486","   51,573","   44,356","   47,137","   52,800","   35,830","   23,218","   17,011","   10,678","   5,865","   2,894","   1,091",   357,—,—
 桃 園 縣 , 男 ,"   536,302","   12,019","   49,895","   12,872","   12,113","   13,395","   11,515","   60,131","   60,538","   57,389","   50,476","   44,196","   28,588","   25,289","   21,986","   29,348","   37,461","   24,159","   14,494","   10,314","   5,783","   2,662","   1,081",   391,   102,—,—
, 女 ,"   476,731","   11,213","   46,677","   11,789","   11,397","   12,479","   11,012","   57,217","   57,416","   55,148","   51,728","   47,694","   29,898","   26,284","   22,370","   17,789","   15,339","   11,671","   8,724","   6,697","   4,895","   3,203","   1,813",   700,   255,—,—
, 計 ,"   636,272","   13,969","   55,282","   14,423","   13,608","   14,711","   12,540","   65,331","   70,916","   76,554","   70,474","   56,661","   33,697","   32,140","   30,656","   29,487","   30,522","   24,085","   17,026","   12,378","   8,396","   5,089","   2,448",   839,   322,—,—
 新 竹 縣 , 男 ,"   335,167","   7,217","   28,854","   7,639","   7,040","   7,667","   6,508","   33,593","   36,510","   39,621","   36,184","   29,608","   17,499","   16,393","   15,537","   16,142","   18,285","   14,604","   10,089","   6,948","   4,240","   2,389","   1,058",   298,   98,—,—
, 女 ,"   301,105","   6,752","   26,428","   6,784","   6,568","   7,044","   6,032","   31,738","   34,406","   36,933","   34,290","   27,053","   16,198","   15,747","   15,119","   13,345","   12,237","   9,481","   6,937","   5,430","   4,156","   2,700","   1,390",   541,   224,—,—
, 計 ,"   541,680","   12,377","   45,357","   12,089","   11,217","   11,602","   10,449","   53,675","   60,984","   69,327","   62,998","   45,718","   26,386","   26,422","   26,862","   26,444","   24,571","   18,598","   14,033","   11,393","   8,071","   4,874","   2,485",   836,   269,—,—
 苗 栗 縣 , 男 ,"   283,005","   6,330","   23,413","   6,202","   5,842","   5,962","   5,407","   27,863","   31,066","   35,340","   33,081","   24,894","   14,280","   13,882","   14,370","   14,269","   13,564","   9,905","   7,417","   5,904","   3,801","   2,187","   1,037",   328,   74,—,—
, 女 ,"   258,675","   6,047","   21,944","   5,887","   5,375","   5,640","   5,042","   25,812","   29,918","   33,987","   29,917","   20,824","   12,106","   12,540","   12,492","   12,175","   11,007","   8,693","   6,616","   5,489","   4,270","   2,687","   1,448",   508,   195,—,—
, 計 ,"   975,718","   24,529","   98,946","   25,793","   24,781","   25,757","   22,615","   106,150","   106,490","   108,546","   103,874","   92,632","   57,120","   50,284","   46,486","   45,355","   43,144","   31,562","   22,188","   17,220","   11,107","   6,177","   2,802",   844,   262,—,—
 臺 中 縣 , 男 ,"   506,716","   12,767","   50,677","   13,274","   12,739","   13,032","   11,632","   54,296","   54,650","   55,103","   51,947","   47,165","   29,879","   26,268","   24,183","   25,574","   26,169","   18,461","   11,877","   8,626","   5,081","   2,564","   1,075",   286,   68,—,—
, 女 ,"   469,002","   11,762","   48,269","   12,519","   12,042","   12,725","   10,983","   51,854","   51,840","   53,443","   51,927","   45,467","   27,241","   24,016","   22,303","   19,781","   16,975","   13,101","   10,311","   8,594","   6,026","   3,613","   1,727",   558,   194,—,—
, 計 ,"   1,153,091","   28,382","   111,183","   29,230","   27,670","   28,889","   25,394","   118,133","   126,179","   138,232","   130,234","   100,089","   60,551","   58,335","   58,917","   55,931","   47,585","   36,591","   28,572","   24,275","   16,067","   8,636","   3,708","   1,166",   325,—,—
 彰 化 縣 , 男 ,"   595,171","   14,711","   57,674","   15,136","   14,379","   14,889","   13,270","   60,638","   64,658","   70,707","   67,394","   53,431","   32,210","   31,118","   30,791","   29,273","   25,101","   18,686","   14,446","   11,895","   7,127","   3,529","   1,340",   373,   69,—,—
, 女 ,"   557,920","   13,671","   53,509","   14,094","   13,291","   14,000","   12,124","   57,495","   61,521","   67,525","   62,840","   46,658","   28,341","   27,217","   28,126","   26,658","   22,484","   17,905","   14,126","   12,380","   8,940","   5,107","   2,368",   793,   256,—,—
, 計 ,"   521,962","   11,370","   43,417","   11,290","   10,772","   11,308","   10,047","   50,394","   59,639","   65,590","   60,791","   44,733","   26,643","   26,113","   27,186","   26,355","   23,652","   17,952","   13,681","   11,313","   7,481","   3,678","   1,425",   409,   140,—,—
 南 投 縣 , 男 ,"   273,014","   5,927","   22,325","   5,914","   5,485","   5,824","   5,102","   25,645","   30,647","   33,474","   32,112","   24,901","   14,324","   13,700","   14,244","   14,234","   13,063","   9,586","   7,219","   5,791","   3,512","   1,572",   556,   149,   33,—,—
, 女 ,"   248,948","   5,443","   21,092","   5,376","   5,287","   5,484","   4,945","   24,749","   28,992","   32,116","   28,679","   19,832","   12,319","   12,413","   12,942","   12,121","   10,589","   8,366","   6,462","   5,522","   3,969","   2,106",   869,   260,   107,—,—
, 計 ,"   799,023","   18,752","   71,412","   19,179","   18,110","   18,298","   15,825","   75,489","   92,436","   102,122","   90,889","   63,815","   40,060","   40,647","   42,268","   40,216","   34,138","   26,211","   20,937","   18,007","   11,749","   6,031","   2,715",   860,   269,—,—
 雲 林 縣 , 男 ,"   414,900","   9,719","   36,816","   9,921","   9,332","   9,318","   8,245","   38,995","   47,060","   52,356","   48,884","   36,030","   22,154","   21,502","   22,044","   20,735","   17,686","   12,997","   10,175","   8,521","   5,343","   2,525",   997,   301,   60,—,—
, 女 ,"   384,123","   9,033","   34,596","   9,258","   8,778","   8,980","   7,580","   36,494","   45,376","   49,766","   42,005","   27,785","   17,906","   19,145","   20,224","   19,481","   16,452","   13,214","   10,762","   9,486","   6,406","   3,506","   1,718",   559,   209,—,—
, 計 ,"   829,551","   17,234","   67,192","   17,680","   16,774","   17,573","   15,165","   76,613","   93,304","   108,504","   98,207","   68,807","   40,729","   41,290","   43,424","   44,000","   38,251","   29,568","   21,779","   18,590","   11,872","   6,147","   2,959",   859,   222,—,—
 嘉 義 縣 , 男 ,"   431,768","   8,883","   34,551","   9,120","   8,650","   8,905","   7,876","   39,225","   47,674","   55,895","   53,106","   38,407","   21,448","   21,037","   21,909","   22,813","   20,823","   15,884","   11,372","   9,175","   5,409","   2,670","   1,165",   277,   45,—,—
