 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  86 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   21,742,815","   307,406","   1,291,688","   321,051","   323,206","   321,548","   325,883","   1,627,015","   1,688,171","   2,012,253","   1,851,573","   1,842,670","   1,922,538","   1,915,911","   1,732,870","   1,392,439","   848,551","   839,094","   718,580","   672,937","   514,004","   314,268","   160,549","   68,321","   17,858","   3,402",   717
 總　　計 , 男 ,"   11,163,764","   160,299","   671,672","   167,267","   167,735","   167,461","   169,209","   849,722","   871,942","   1,034,479","   948,608","   940,902","   980,473","   975,340","   878,916","   705,103","   426,471","   414,295","   355,662","   372,322","   292,130","   167,889","   79,065","   29,977","   6,951","   1,271",   275
, 女 ,"   10,579,051","   147,107","   620,016","   153,784","   155,471","   154,087","   156,674","   777,293","   816,229","   977,774","   902,965","   901,768","   942,065","   940,571","   853,954","   687,336","   422,080","   424,799","   362,918","   300,615","   221,874","   146,379","   81,484","   38,344","   10,907","   2,131",   442
, 計 ,"   21,683,316","   306,666","   1,288,720","   320,342","   322,477","   320,791","   325,110","   1,622,897","   1,682,943","   2,006,429","   1,845,696","   1,838,315","   1,918,398","   1,911,882","   1,728,507","   1,389,163","   846,146","   836,484","   715,648","   670,571","   512,338","   313,097","   159,798","   67,857","   17,699","   3,357",   705
 臺灣地區 , 男 ,"   11,132,513","   159,932","   670,154","   166,890","   167,364","   167,069","   168,831","   847,580","   869,251","   1,031,463","   945,391","   938,367","   978,111","   973,201","   876,738","   703,513","   425,176","   412,783","   353,918","   371,118","   291,416","   167,341","   78,795","   29,832","   6,902","   1,257",   274
, 女 ,"   10,550,803","   146,734","   618,566","   153,452","   155,113","   153,722","   156,279","   775,317","   813,692","   974,966","   900,305","   899,948","   940,287","   938,681","   851,769","   685,650","   420,970","   423,701","   361,730","   299,453","   220,922","   145,756","   81,003","   38,025","   10,797","   2,100",   431
, 計 ,"   17,648,681","   254,460","   1,068,828","   265,602","   266,811","   266,338","   270,077","   1,342,592","   1,381,064","   1,653,969","   1,522,565","   1,508,236","   1,566,039","   1,540,986","   1,363,224","   1,084,539","   670,999","   680,729","   592,732","   551,019","   413,781","   251,622","   129,230","   54,988","   14,120","   2,527",   432
臺  灣  省, 男 ,"   9,106,712","   132,890","   555,626","   138,681","   138,210","   138,549","   140,186","   700,303","   712,623","   851,205","   781,166","   776,915","   809,482","   796,481","   700,455","   554,189","   338,831","   338,482","   295,040","   304,330","   233,640","   132,305","   62,654","   23,582","   5,415",   930,   168
, 女 ,"   8,541,969","   121,570","   513,202","   126,921","   128,601","   127,789","   129,891","   642,289","   668,441","   802,764","   741,399","   731,321","   756,557","   744,505","   662,769","   530,350","   332,168","   342,247","   297,692","   246,689","   180,141","   119,317","   66,576","   31,406","   8,705","   1,597",   264
