 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  73 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   19,069,194","   337,972","   1,591,442","   376,836","   397,911","   410,334","   406,361","   1,996,895","   1,832,008","   1,926,126","   2,006,186","   1,878,505","   1,639,902","   1,036,697","   926,377","   844,159","   800,224","   756,448","   570,673","   385,983","   284,281","   153,929","   69,949","   24,584","   6,854",—,—
 總　　計 , 男 ,"   9,904,853","   175,299","   819,874","   194,034","   205,099","   211,738","   209,003","   1,028,071","   941,453","   987,739","   1,027,912","   958,965","   837,342","   531,587","   473,507","   427,824","   438,062","   450,737","   330,954","   214,257","   148,949","   71,605","   29,701","   8,963","   2,052",—,—
, 女 ,"   9,164,341","   162,673","   771,568","   182,802","   192,812","   198,596","   197,358","   968,824","   890,555","   938,387","   978,274","   919,540","   802,560","   505,110","   452,870","   416,335","   362,162","   305,711","   239,719","   171,726","   135,332","   82,324","   40,248","   15,621","   4,802",—,—
, 計 ,"   19,012,512","   336,768","   1,586,481","   375,612","   396,706","   409,048","   405,115","   1,989,917","   1,824,006","   1,919,670","   2,002,275","   1,874,517","   1,636,523","   1,034,218","   923,932","   841,523","   797,552","   754,417","   569,061","   384,801","   283,137","   153,191","   69,447","   24,353","   6,723",—,—
 臺灣地區 , 男 ,"   9,875,394","   174,702","   817,261","   193,396","   204,478","   211,038","   208,349","   1,024,487","   937,341","   984,109","   1,025,657","   956,939","   835,824","   530,394","   472,156","   426,260","   436,535","   449,747","   330,081","   213,680","   148,470","   71,326","   29,513","   8,893","   2,019",—,—
, 女 ,"   9,137,118","   162,066","   769,220","   182,216","   192,228","   198,010","   196,766","   965,430","   886,665","   935,561","   976,618","   917,578","   800,699","   503,824","   451,776","   415,263","   361,017","   304,670","   238,980","   171,121","   134,667","   81,865","   39,934","   15,460","   4,704",—,—
, 計 ,"   15,277,678","   280,101","   1,303,525","   310,280","   326,669","   335,919","   330,657","   1,604,934","   1,461,685","   1,572,649","   1,644,497","   1,485,928","   1,255,872","   786,242","   724,166","   678,087","   650,775","   610,824","   457,643","   313,965","   234,044","   128,783","   58,186","   20,304","   5,468",—,—
臺  灣  省, 男 ,"   7,960,839","   145,072","   670,712","   159,776","   168,216","   173,006","   169,714","   825,536","   750,194","   806,387","   848,365","   769,607","   652,289","   407,538","   372,094","   345,730","   355,592","   361,796","   262,811","   172,603","   121,701","   59,351","   24,473","   7,346","   1,642",—,—
, 女 ,"   7,316,839","   135,029","   632,813","   150,504","   158,453","   162,913","   160,943","   779,398","   711,491","   766,262","   796,132","   716,321","   603,583","   378,704","   352,072","   332,357","   295,183","   249,028","   194,832","   141,362","   112,343","   69,432","   33,713","   12,958","   3,826",—,—
