 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  66 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   16,882,053","   359,847","   1,503,600","   418,591","   364,410","   359,884","   360,715","   1,892,727","   1,979,111","   1,986,478","   1,820,647","   1,480,909","   916,254","   928,238","   834,077","   840,890","   729,318","   554,188","   408,745","   302,779","   182,580","   100,277","   41,950","   14,801","   4,637",—,—
 總　　計 , 男 ,"   8,829,635","   186,055","   774,906","   216,114","   187,440","   185,439","   185,913","   972,833","   1,016,234","   1,018,989","   931,476","   758,535","   470,710","   474,152","   432,694","   487,595","   439,976","   323,997","   229,506","   158,739","   88,090","   43,324","   15,892","   4,816","   1,116",—,—
, 女 ,"   8,052,418","   173,792","   728,694","   202,477","   176,970","   174,445","   174,802","   919,894","   962,877","   967,489","   889,171","   722,374","   445,544","   454,086","   401,383","   353,295","   289,342","   230,191","   179,239","   144,040","   94,490","   56,953","   26,058","   9,985","   3,521",—,—
, 計 ,"   16,813,127","   358,369","   1,496,852","   416,904","   362,796","   358,233","   358,919","   1,882,250","   1,967,677","   1,979,695","   1,815,514","   1,477,004","   913,375","   925,053","   830,488","   837,854","   726,740","   552,070","   407,149","   301,318","   181,563","   99,516","   41,534","   14,548","   4,558",—,—
 臺灣地區 , 男 ,"   8,793,955","   185,299","   771,417","   215,211","   186,635","   184,610","   184,961","   967,423","   1,010,364","   1,015,078","   928,722","   756,694","   469,256","   472,406","   430,608","   486,042","   438,711","   322,805","   228,756","   158,064","   87,658","   43,050","   15,764","   4,740","   1,098",—,—
, 女 ,"   8,019,172","   173,070","   725,435","   201,693","   176,161","   173,623","   173,958","   914,827","   957,313","   964,617","   886,792","   720,310","   444,119","   452,647","   399,880","   351,812","   288,029","   229,265","   178,393","   143,254","   93,905","   56,466","   25,770","   9,808","   3,460",—,—
, 計 ,"   14,685,502","   321,827","   1,322,161","   368,901","   321,448","   315,847","   315,965","   1,652,315","   1,737,244","   1,756,003","   1,591,743","   1,259,207","   775,299","   797,511","   725,087","   728,525","   623,969","   473,291","   352,549","   265,037","   161,159","   88,801","   36,948","   12,858","   3,968",—,—
臺  灣  省, 男 ,"   7,682,689","   166,211","   680,806","   190,192","   165,427","   162,481","   162,706","   848,464","   891,228","   900,443","   819,099","   652,790","   402,172","   410,691","   377,675","   420,306","   373,160","   272,705","   195,402","   137,045","   77,088","   38,195","   13,985","   4,249",   975,—,—
, 女 ,"   7,002,813","   155,616","   641,355","   178,709","   156,021","   153,366","   153,259","   803,851","   846,016","   855,560","   772,644","   606,417","   373,127","   386,820","   347,412","   308,219","   250,809","   200,586","   157,147","   127,992","   84,071","   50,606","   22,963","   8,609","   2,993",—,—
, 計 ,"   1,871,774","   43,517","   192,128","   52,925","   46,442","   46,701","   46,060","   227,494","   205,826","   195,157","   191,939","   188,929","   119,085","   107,375","   85,745","   84,299","   74,663","   56,635","   39,997","   27,687","   16,851","   8,936","   3,764","   1,274",   473,—,—
 臺 北 縣 , 男 ,"   974,003","   22,515","   98,896","   27,342","   23,795","   24,038","   23,721","   116,742","   105,673","   100,101","   92,243","   90,862","   61,583","   55,764","   45,274","   50,712","   46,352","   34,618","   23,389","   15,154","   8,425","   3,861","   1,357",   382,   100,—,—
, 女 ,"   897,771","   21,002","   93,232","   25,583","   22,647","   22,663","   22,339","   110,752","   100,153","   95,056","   99,696","   98,067","   57,502","   51,611","   40,471","   33,587","   28,311","   22,017","   16,608","   12,533","   8,426","   5,075","   2,407",   892,   373,—,—
, 計 ,"   435,184","   9,090","   36,981","   10,214","   8,859","   8,972","   8,936","   47,811","   52,678","   54,841","   48,185","   33,259","   20,387","   24,232","   22,650","   21,598","   18,599","   14,465","   11,768","   8,752","   5,658","   2,656","   1,064",   381,   129,—,—
 宜 蘭 縣 , 男 ,"   229,703","   4,748","   18,809","   5,256","   4,473","   4,512","   4,568","   24,655","   27,286","   28,166","   25,186","   17,854","   10,772","   12,686","   12,161","   12,329","   11,135","   8,328","   6,788","   4,625","   2,602","   1,061",   359,   124,   29,—,—
, 女 ,"   205,481","   4,342","   18,172","   4,958","   4,386","   4,460","   4,368","   23,156","   25,392","   26,675","   22,999","   15,405","   9,615","   11,546","   10,489","   9,269","   7,464","   6,137","   4,980","   4,127","   3,056","   1,595",   705,   257,   100,—,—
, 計 ,"   931,597","   20,522","   89,014","   24,445","   21,278","   21,623","   21,668","   116,078","   113,848","   104,077","   93,618","   77,479","   49,293","   48,370","   41,526","   50,925","   45,069","   29,707","   20,138","   14,065","   8,803","   5,377","   2,442",   936,   310,—,—
 桃 園 縣 , 男 ,"   492,946","   10,625","   45,806","   12,651","   10,903","   11,044","   11,208","   59,532","   58,133","   53,192","   45,716","   37,117","   23,976","   23,752","   21,778","   34,322","   31,433","   19,315","   12,196","   8,026","   4,341","   2,328",   918,   360,   80,—,—
, 女 ,"   438,651","   9,897","   43,208","   11,794","   10,375","   10,579","   10,460","   56,546","   55,715","   50,885","   47,902","   40,362","   25,317","   24,618","   19,748","   16,603","   13,636","   10,392","   7,942","   6,039","   4,462","   3,049","   1,524",   576,   230,—,—
, 計 ,"   629,800","   13,261","   54,502","   15,233","   13,019","   13,304","   12,946","   69,219","   73,825","   76,754","   69,359","   51,849","   31,453","   32,858","   30,019","   31,606","   29,179","   21,947","   16,086","   11,779","   8,065","   4,813","   2,137",   825,   264,—,—
 新 竹 縣 , 男 ,"   332,510","   6,851","   28,191","   7,920","   6,744","   6,860","   6,667","   35,478","   38,271","   39,543","   35,746","   27,136","   16,341","   16,656","   15,504","   18,113","   17,666","   13,373","   9,456","   6,552","   4,084","   2,271",   889,   316,   73,—,—
, 女 ,"   297,290","   6,410","   26,311","   7,313","   6,275","   6,444","   6,279","   33,741","   35,554","   37,211","   33,613","   24,713","   15,112","   16,202","   14,515","   13,493","   11,513","   8,574","   6,630","   5,227","   3,981","   2,542","   1,248",   509,   191,—,—
, 計 ,"   542,558","   11,690","   45,262","   12,475","   11,136","   10,914","   10,737","   58,601","   65,609","   70,520","   61,419","   42,280","   25,271","   28,268","   26,774","   27,283","   22,509","   17,422","   13,871","   10,553","   7,519","   4,660","   2,065",   731,   251,—,—
 苗 栗 縣 , 男 ,"   283,382","   6,128","   23,532","   6,437","   5,769","   5,651","   5,675","   30,175","   33,412","   35,920","   32,055","   23,161","   13,611","   15,028","   14,185","   15,049","   12,404","   9,275","   7,334","   5,318","   3,577","   2,056",   847,   255,   60,—,—
, 女 ,"   259,176","   5,562","   21,730","   6,038","   5,367","   5,263","   5,062","   28,426","   32,197","   34,600","   29,364","   19,119","   11,660","   13,240","   12,589","   12,234","   10,105","   8,147","   6,537","   5,235","   3,942","   2,604","   1,218",   476,   191,—,—
, 計 ,"   913,025","   22,523","   89,860","   25,252","   22,219","   21,115","   21,274","   104,698","   104,995","   104,601","   99,700","   78,617","   48,687","   48,499","   44,224","   45,089","   38,341","   28,073","   20,881","   15,376","   10,007","   5,727","   2,156",   740,   231,—,—
 臺 中 縣 , 男 ,"   474,657","   11,575","   46,023","   12,852","   11,431","   10,807","   10,933","   53,550","   53,479","   53,124","   49,882","   40,506","   25,353","   25,275","   23,426","   26,471","   23,462","   15,982","   10,961","   7,604","   4,461","   2,394",   816,   251,   62,—,—
, 女 ,"   438,368","   10,948","   43,837","   12,400","   10,788","   10,308","   10,341","   51,148","   51,516","   51,477","   49,818","   38,111","   23,334","   23,224","   20,798","   18,618","   14,879","   12,091","   9,920","   7,772","   5,546","   3,333","   1,340",   489,   169,—,—
, 計 ,"   1,130,071","   27,259","   105,564","   30,012","   26,244","   24,829","   24,479","   122,925","   132,611","   139,457","   126,428","   91,904","   55,872","   60,807","   58,785","   54,107","   43,178","   34,599","   27,406","   22,625","   14,483","   7,720","   3,039","   1,033",   269,—,—
 彰 化 縣 , 男 ,"   582,096","   14,112","   54,411","   15,456","   13,635","   12,765","   12,555","   63,093","   67,831","   71,315","   65,421","   49,199","   29,854","   32,265","   30,668","   28,540","   22,400","   17,454","   13,852","   10,774","   6,347","   3,096","   1,083",   324,   57,—,—
, 女 ,"   547,975","   13,147","   51,153","   14,556","   12,609","   12,064","   11,924","   59,832","   64,780","   68,142","   61,007","   42,705","   26,018","   28,542","   28,117","   25,567","   20,778","   17,145","   13,554","   11,851","   8,136","   4,624","   1,956",   709,   212,—,—
