 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  78 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   20,156,587","   296,367","   1,310,238","   338,906","   315,797","   311,476","   344,059","   1,955,602","   1,980,990","   1,818,652","   1,918,760","   1,975,360","   1,846,137","   1,606,595","   1,022,313","   915,500","   827,488","   771,386","   709,878","   515,006","   328,513","   214,093","   98,274","   35,392","   10,043",—,—
 總　　計 , 男 ,"   10,424,102","   153,990","   678,302","   175,986","   163,884","   161,063","   177,369","   1,007,704","   1,019,573","   931,441","   983,442","   1,012,566","   942,367","   819,835","   522,060","   465,199","   416,687","   417,661","   415,948","   292,469","   177,106","   107,237","   43,202","   14,021","   3,292",—,—
, 女 ,"   9,732,485","   142,377","   631,936","   162,920","   151,913","   150,413","   166,690","   947,898","   961,417","   887,211","   935,318","   962,794","   903,770","   786,760","   500,053","   450,301","   411,001","   353,725","   293,930","   222,537","   151,407","   106,856","   55,072","   21,371","   6,751",—,—
, 計 ,"   20,107,440","   295,615","   1,306,507","   337,967","   314,909","   310,575","   343,056","   1,949,998","   1,974,691","   1,813,512","   1,915,680","   1,972,244","   1,842,756","   1,603,680","   1,020,072","   913,391","   825,010","   769,034","   708,088","   513,699","   327,491","   213,218","   97,763","   35,093","   9,898",—,—
 臺灣地區 , 男 ,"   10,398,619","   153,583","   676,401","   175,514","   163,429","   160,605","   176,853","   1,004,791","   1,016,429","   928,615","   981,602","   1,010,879","   940,756","   818,478","   520,939","   463,994","   415,252","   416,322","   415,060","   291,803","   176,609","   106,896","   43,036","   13,919","   3,255",—,—
, 女 ,"   9,708,821","   142,032","   630,106","   162,453","   151,480","   149,970","   166,203","   945,207","   958,262","   884,897","   934,078","   961,365","   902,000","   785,202","   498,933","   449,397","   409,958","   352,712","   293,028","   221,896","   150,882","   106,322","   54,727","   21,174","   6,643",—,—
, 計 ,"   16,030,531","   242,143","   1,063,532","   275,656","   257,011","   252,675","   278,190","   1,570,617","   1,582,212","   1,462,897","   1,560,521","   1,573,913","   1,423,204","   1,217,042","   773,700","   717,680","   664,979","   628,779","   575,310","   414,188","   266,298","   175,398","   81,387","   28,748","   7,983",—,—
臺  灣  省, 男 ,"   8,327,589","   125,786","   550,004","   143,059","   133,270","   130,517","   143,158","   808,374","   814,561","   749,175","   803,449","   816,892","   739,201","   630,177","   397,891","   366,220","   336,924","   340,303","   336,577","   233,686","   142,163","   86,986","   35,361","   11,252","   2,607",—,—
, 女 ,"   7,702,942","   116,357","   513,528","   132,597","   123,741","   122,158","   135,032","   762,243","   767,651","   713,722","   757,072","   757,021","   684,003","   586,865","   375,609","   351,460","   328,255","   288,476","   238,733","   180,502","   124,135","   88,412","   46,026","   17,496","   5,376",—,—
