 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  71 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   18,515,754","   364,711","   1,641,215","   409,024","   407,037","   417,591","   407,563","   1,894,316","   1,885,114","   1,969,094","   1,979,551","   1,804,082","   1,464,372","   908,331","   915,333","   817,447","   817,015","   696,507","   516,439","   364,797","   252,357","   135,741","   62,761","   20,438","   6,133",—,—
 總　　計 , 男 ,"   9,636,285","   188,794","   846,527","   211,036","   209,726","   215,305","   210,460","   974,411","   968,414","   1,009,949","   1,013,074","   921,180","   750,402","   466,562","   466,015","   421,329","   470,978","   415,958","   297,496","   200,093","   128,338","   62,450","   25,413","   7,173","   1,729",—,—
, 女 ,"   8,879,469","   175,917","   794,688","   197,988","   197,311","   202,286","   197,103","   919,905","   916,700","   959,145","   966,477","   882,902","   713,970","   441,769","   449,318","   396,118","   346,037","   280,549","   218,943","   164,704","   124,019","   73,291","   37,348","   13,265","   4,404",—,—
, 計 ,"   18,457,923","   363,562","   1,636,057","   407,758","   405,793","   416,288","   406,218","   1,886,906","   1,876,343","   1,962,639","   1,975,778","   1,799,964","   1,461,224","   905,942","   912,709","   814,612","   814,542","   694,511","   514,847","   363,558","   251,236","   135,003","   62,285","   20,209","   5,996",—,—
 臺灣地區 , 男 ,"   9,606,148","   188,187","   843,814","   210,353","   209,074","   214,635","   209,752","   970,561","   963,932","   1,006,262","   1,010,878","   919,156","   748,996","   465,320","   464,537","   419,639","   469,693","   414,937","   296,609","   199,544","   127,861","   62,167","   25,251","   7,108","   1,696",—,—
, 女 ,"   8,851,775","   175,375","   792,243","   197,405","   196,719","   201,653","   196,466","   916,345","   912,411","   956,377","   964,900","   880,808","   712,228","   440,622","   448,172","   394,973","   344,849","   279,574","   218,238","   164,014","   123,375","   72,836","   37,034","   13,101","   4,300",—,—
, 計 ,"   14,882,107","   304,009","   1,346,491","   337,515","   334,354","   342,439","   332,183","   1,520,607","   1,513,228","   1,616,573","   1,623,206","   1,421,805","   1,119,548","   698,554","   724,205","   662,195","   663,330","   558,237","   414,484","   298,107","   209,352","   113,647","   52,691","   16,870","   4,968",—,—
臺  灣  省, 男 ,"   7,764,516","   157,139","   694,282","   174,064","   172,191","   176,486","   171,541","   781,461","   776,515","   828,917","   837,060","   736,270","   582,810","   361,962","   370,969","   342,427","   380,665","   330,435","   235,667","   162,250","   105,221","   51,915","   21,234","   5,906","   1,411",—,—
, 女 ,"   7,117,591","   146,870","   652,209","   163,451","   162,163","   165,953","   160,642","   739,146","   736,713","   787,656","   786,146","   685,535","   536,738","   336,592","   353,236","   319,768","   282,665","   227,802","   178,817","   135,857","   104,131","   61,732","   31,457","   10,964","   3,557",—,—
, 計 ,"   2,445,129","   51,694","   248,998","   60,871","   61,642","   64,195","   62,290","   277,199","   241,628","   230,140","   239,510","   273,071","   231,826","   130,679","   114,449","   91,985","   90,914","   78,906","   57,997","   38,628","   25,293","   13,438","   6,145","   2,005",   624,—,—
 臺 北 縣 , 男 ,"   1,261,749","   26,721","   128,449","   31,286","   31,997","   33,131","   32,035","   142,221","   124,389","   117,847","   116,462","   132,242","   117,834","   68,558","   58,077","   47,343","   53,948","   47,893","   34,726","   21,824","   13,433","   6,432","   2,513",   681,   156,—,—
, 女 ,"   1,183,380","   24,973","   120,549","   29,585","   29,645","   31,064","   30,255","   134,978","   117,239","   112,293","   123,048","   140,829","   113,992","   62,121","   56,372","   44,642","   36,966","   31,013","   23,271","   16,804","   11,860","   7,006","   3,632","   1,324",   468,—,—
