 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  85 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   21,525,433","   303,837","   1,287,138","   321,495","   320,549","   325,205","   319,889","   1,615,377","   1,776,191","   1,999,609","   1,824,814","   1,851,115","   1,954,320","   1,877,207","   1,704,099","   1,275,488","   827,045","   828,300","   709,285","   671,468","   490,537","   293,422","   156,180","   60,055","   16,336","   3,027",   583
 總　　計 , 男 ,"   11,065,798","   158,284","   670,123","   166,898","   166,980","   168,897","   167,348","   842,803","   916,435","   1,027,808","   935,259","   946,727","   996,496","   954,943","   865,339","   646,207","   415,574","   408,932","   357,729","   379,841","   277,751","   155,747","   77,128","   25,113","   6,278","   1,078",   203
, 女 ,"   10,459,635","   145,553","   617,015","   154,597","   153,569","   156,308","   152,541","   772,574","   859,756","   971,801","   889,555","   904,388","   957,824","   922,264","   838,760","   629,281","   411,471","   419,368","   351,556","   291,627","   212,786","   137,675","   79,052","   34,942","   10,058","   1,949",   380
, 計 ,"   21,471,448","   303,190","   1,284,337","   320,809","   319,846","   324,506","   319,176","   1,611,182","   1,770,811","   1,993,790","   1,819,641","   1,847,726","   1,950,826","   1,873,730","   1,700,509","   1,272,887","   824,746","   825,746","   706,662","   669,416","   488,971","   292,363","   155,461","   59,714","   16,181","   2,986",   573
 臺灣地區 , 男 ,"   11,037,263","   157,935","   668,719","   166,545","   166,621","   168,565","   166,988","   840,605","   913,629","   1,024,865","   932,285","   944,676","   994,520","   953,154","   863,588","   644,911","   414,306","   407,428","   356,203","   378,799","   277,035","   155,237","   76,869","   25,007","   6,226","   1,066",   200
, 女 ,"   10,434,185","   145,255","   615,618","   154,264","   153,225","   155,941","   152,188","   770,577","   857,182","   968,925","   887,356","   903,050","   956,306","   920,576","   836,921","   627,976","   410,440","   418,318","   350,459","   290,617","   211,936","   137,126","   78,592","   34,707","   9,955","   1,920",   373
, 計 ,"   17,432,453","   252,835","   1,068,335","   266,623","   266,296","   270,278","   265,138","   1,328,251","   1,446,402","   1,639,523","   1,494,038","   1,512,676","   1,587,963","   1,497,946","   1,330,886","   989,096","   656,734","   673,889","   584,909","   549,459","   393,887","   235,612","   125,688","   48,913","   12,829","   2,244",   338
臺  灣  省, 男 ,"   9,005,201","   131,988","   555,814","   138,210","   138,580","   140,280","   138,744","   692,128","   745,453","   843,782","   766,565","   780,496","   820,746","   774,559","   684,481","   505,191","   331,536","   335,351","   296,127","   309,866","   221,180","   123,075","   61,088","   20,100","   4,765",   793,   117
, 女 ,"   8,427,252","   120,847","   512,521","   128,413","   127,716","   129,998","   126,394","   636,123","   700,949","   795,741","   727,473","   732,180","   767,217","   723,387","   646,405","   483,905","   325,198","   338,538","   288,782","   239,593","   172,707","   112,537","   64,600","   28,813","   8,064","   1,451",   221
