 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  72 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   18,790,538","   355,718","   1,632,959","   396,984","   410,692","   407,496","   417,787","   1,942,236","   1,859,001","   1,943,319","   1,998,175","   1,837,932","   1,558,973","   953,987","   926,155","   825,855","   807,131","   728,810","   540,934","   373,494","   269,149","   142,793","   64,985","   22,588","   6,344",—,—
 總　　計 , 男 ,"   9,769,572","   183,646","   841,666","   204,972","   211,679","   209,669","   215,346","   999,443","   955,552","   997,573","   1,023,488","   938,465","   796,780","   489,502","   471,800","   421,124","   454,264","   435,512","   312,690","   206,162","   139,163","   65,714","   27,141","   8,020","   1,867",—,—
, 女 ,"   9,020,966","   172,072","   791,293","   192,012","   199,013","   197,827","   202,441","   942,793","   903,449","   945,746","   974,687","   899,467","   762,193","   464,485","   454,355","   404,731","   352,867","   293,298","   228,244","   167,332","   129,986","   77,079","   37,844","   14,568","   4,477",—,—
, 計 ,"   18,732,938","   354,482","   1,627,858","   395,794","   409,396","   406,248","   416,420","   1,935,047","   1,850,585","   1,936,666","   1,994,335","   1,833,803","   1,555,734","   951,549","   923,678","   823,083","   804,515","   726,782","   539,353","   372,288","   268,031","   142,055","   64,512","   22,360","   6,222",—,—
 臺灣地區 , 男 ,"   9,739,590","   182,997","   839,006","   204,352","   211,006","   209,019","   214,629","   995,736","   951,211","   993,838","   1,021,253","   936,394","   795,321","   488,276","   470,435","   419,478","   452,832","   434,485","   311,832","   205,608","   138,686","   65,438","   26,974","   7,952","   1,838",—,—
, 女 ,"   8,993,348","   171,485","   788,852","   191,442","   198,390","   197,229","   201,791","   939,311","   899,374","   942,828","   973,082","   897,409","   760,413","   463,273","   453,243","   403,605","   351,683","   292,297","   227,521","   166,680","   129,345","   76,617","   37,538","   14,408","   4,384",—,—
, 計 ,"   15,082,821","   294,851","   1,339,498","   327,307","   337,709","   333,723","   340,759","   1,559,025","   1,486,237","   1,590,407","   1,638,481","   1,452,268","   1,193,378","   729,051","   729,013","   666,675","   656,811","   586,928","   434,163","   305,111","   222,823","   119,855","   54,403","   18,738","   5,105",—,—
臺  灣  省, 男 ,"   7,863,861","   152,081","   690,146","   168,858","   174,026","   171,587","   175,675","   801,261","   762,804","   816,261","   845,360","   751,884","   620,099","   377,483","   373,452","   341,540","   368,612","   348,282","   248,045","   167,009","   114,046","   54,788","   22,558","   6,622","   1,528",—,—
, 女 ,"   7,218,960","   142,770","   649,352","   158,449","   163,683","   162,136","   165,084","   757,764","   723,433","   774,146","   793,121","   700,384","   573,279","   351,568","   355,561","   325,135","   288,199","   238,646","   186,118","   138,102","   108,777","   65,067","   31,845","   12,116","   3,577",—,—
, 計 ,"   2,514,191","   50,907","   246,959","   58,633","   62,077","   62,134","   64,115","   288,674","   244,737","   232,185","   243,394","   277,225","   251,266","   139,726","   119,276","   94,299","   89,714","   82,679","   61,584","   40,688","   27,423","   14,033","   6,563","   2,231",   628,—,—
 臺 北 縣 , 男 ,"   1,296,353","   26,193","   127,317","   30,357","   31,786","   32,162","   33,012","   147,929","   126,266","   119,153","   119,520","   134,062","   127,162","   72,797","   60,847","   47,859","   51,765","   50,199","   36,700","   23,240","   14,813","   6,783","   2,816",   762,   170,—,—
, 女 ,"   1,217,838","   24,714","   119,642","   28,276","   30,291","   29,972","   31,103","   140,745","   118,471","   113,032","   123,874","   143,163","   124,104","   66,929","   58,429","   46,440","   37,949","   32,480","   24,884","   17,448","   12,610","   7,250","   3,747","   1,469",   458,—,—
, 計 ,"   447,707","   8,487","   37,264","   9,287","   9,556","   9,160","   9,261","   43,102","   45,075","   50,438","   52,403","   40,613","   30,382","   19,039","   23,038","   21,973","   20,788","   17,815","   13,549","   9,862","   7,210","   4,197","   1,819",   500,   153,—,—
 宜 蘭 縣 , 男 ,"   233,517","   4,356","   19,186","   4,797","   4,892","   4,775","   4,722","   22,100","   23,216","   25,923","   27,122","   21,093","   15,633","   9,846","   11,823","   11,580","   11,598","   10,621","   7,688","   5,371","   3,642","   1,850",   662,   162,   45,—,—
, 女 ,"   214,190","   4,131","   18,078","   4,490","   4,664","   4,385","   4,539","   21,002","   21,859","   24,515","   25,281","   19,520","   14,749","   9,193","   11,215","   10,393","   9,190","   7,194","   5,861","   4,491","   3,568","   2,347","   1,157",   338,   108,—,—
, 計 ,"   1,160,709","   23,361","   108,184","   26,226","   27,519","   26,849","   27,590","   128,521","   122,907","   120,695","   117,334","   110,541","   94,588","   56,091","   51,852","   43,857","   51,161","   50,392","   32,175","   21,451","   14,414","   7,446","   3,831","   1,444",   464,—,—
