 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中 華 民 國  76 年 底 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 區  域  別 , 性別 , 總     計 , 0 ,,, 1-4 ,,, 5-9 , 10-14 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65-69 , 70-74 , 75-79 , 80-84 , 85-89 , 90-94 , 95-99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ,"   19,725,010","   288,992","   1,395,387","   307,757","   342,881","   366,154","   378,595","   2,029,602","   1,886,617","   1,872,408","   1,960,854","   1,948,272","   1,768,454","   1,430,984","   901,802","   903,857","   802,202","   786,726","   655,426","   467,117","   309,632","   190,184","   86,581","   31,433","   8,480",—,—
 總　　計 , 男 ,"   10,217,434","   150,365","   719,404","   158,838","   176,770","   189,064","   194,732","   1,045,548","   969,628","   959,733","   1,004,717","   997,449","   902,960","   731,800","   460,504","   457,594","   410,236","   448,336","   385,499","   263,430","   165,291","   92,604","   37,690","   11,965","   2,681",—,—
, 女 ,"   9,507,576","   138,627","   675,983","   148,919","   166,111","   177,090","   183,863","   984,054","   916,989","   912,675","   956,137","   950,823","   865,494","   699,184","   441,298","   446,263","   391,966","   338,390","   269,927","   203,687","   144,341","   97,580","   48,891","   19,468","   5,799",—,—
, 計 ,"   19,672,612","   288,087","   1,391,139","   306,798","   341,812","   365,061","   377,468","   2,023,547","   1,879,814","   1,866,626","   1,957,196","   1,944,869","   1,764,793","   1,428,150","   899,598","   901,496","   799,620","   784,506","   653,765","   465,837","   308,600","   189,366","   86,095","   31,151","   8,357",—,—
 臺灣地區 , 男 ,"   10,190,180","   149,889","   717,178","   158,338","   176,195","   188,507","   194,138","   1,042,427","   966,196","   956,535","   1,002,586","   995,655","   901,241","   730,482","   459,340","   456,237","   408,688","   447,142","   384,638","   262,752","   164,858","   92,283","   37,517","   11,884","   2,652",—,—
, 女 ,"   9,482,432","   138,198","   673,961","   148,460","   165,617","   176,554","   183,330","   981,120","   913,618","   910,091","   954,610","   949,214","   863,552","   697,668","   440,258","   445,259","   390,932","   337,364","   269,127","   203,085","   143,742","   97,083","   48,578","   19,267","   5,705",—,—
, 計 ,"   15,692,715","   236,843","   1,135,306","   251,129","   279,368","   298,026","   306,783","   1,631,660","   1,503,296","   1,511,767","   1,599,270","   1,546,406","   1,355,124","   1,079,645","   686,458","   711,985","   645,510","   636,906","   525,396","   374,774","   250,751","   157,229","   71,804","   25,774","   6,811",—,—
臺  灣  省, 男 ,"   8,161,866","   123,178","   585,196","   129,579","   143,902","   153,825","   157,890","   840,077","   772,305","   775,071","   823,249","   802,219","   703,034","   559,377","   352,504","   362,238","   331,166","   362,640","   308,389","   209,917","   132,948","   75,634","   30,869","   9,699","   2,156",—,—
, 女 ,"   7,530,849","   113,665","   550,110","   121,550","   135,466","   144,201","   148,893","   791,583","   730,991","   736,696","   776,021","   744,187","   652,090","   520,268","   333,954","   349,747","   314,344","   274,266","   217,007","   164,857","   117,803","   81,595","   40,935","   16,075","   4,655",—,—
, 計 ,"   2,800,881","   42,824","   216,556","   46,779","   53,090","   56,760","   59,927","   323,149","   279,973","   253,134","   253,172","   287,827","   290,614","   225,428","   130,258","   116,366","   93,376","   89,875","   77,003","   54,038","   34,283","   19,681","   9,220","   3,186",   918,—,—
 臺 北 縣 , 男 ,"   1,438,559","   22,305","   111,114","   23,779","   27,216","   29,324","   30,795","   166,177","   144,150","   130,329","   126,513","   140,211","   145,103","   115,196","   67,191","   58,449","   47,520","   52,501","   45,840","   31,482","   18,816","   9,976","   4,169","   1,231",   286,—,—
, 女 ,"   1,362,322","   20,519","   105,442","   23,000","   25,874","   27,436","   29,132","   156,972","   135,823","   122,805","   126,659","   147,616","   145,511","   110,232","   63,067","   57,917","   45,856","   37,374","   31,163","   22,556","   15,467","   9,705","   5,051","   1,955",   632,—,—
, 計 ,"   447,467","   6,791","   30,688","   6,980","   7,571","   7,960","   8,177","   42,513","   41,552","   45,856","   49,809","   44,314","   34,398","   26,427","   18,349","   22,592","   21,045","   19,482","   15,691","   11,317","   7,989","   5,195","   2,445",   811,   203,—,—
 宜 蘭 縣 , 男 ,"   232,507","   3,497","   15,794","   3,668","   3,888","   4,056","   4,182","   21,861","   21,394","   23,518","   25,668","   23,179","   17,789","   13,511","   9,326","   11,604","   11,087","   11,023","   9,174","   6,191","   4,148","   2,453",   967,   266,   57,—,—
, 女 ,"   214,960","   3,294","   14,894","   3,312","   3,683","   3,904","   3,995","   20,652","   20,158","   22,338","   24,141","   21,135","   16,609","   12,916","   9,023","   10,988","   9,958","   8,459","   6,517","   5,126","   3,841","   2,742","   1,478",   545,   146,—,—
, 計 ,"   1,259,503","   19,141","   94,630","   20,304","   22,747","   25,233","   26,346","   142,123","   126,915","   124,801","   123,448","   120,497","   112,591","   88,180","   53,228","   50,305","   42,778","   52,921","   44,959","   27,194","   17,853","   10,481","   4,863","   2,019",   576,—,—
 桃 園 縣 , 男 ,"   659,846","   9,975","   48,950","   10,646","   11,741","   12,996","   13,567","   73,224","   65,368","   63,936","   62,885","   59,839","   55,745","   43,710","   26,022","   24,300","   22,114","   35,773","   31,046","   17,221","   10,828","   5,825","   2,181",   759,   145,—,—
